community,size,mean_pair_cosine,mean_cosine_silhouette,negative_silhouette_fraction,representatives,boundary_words,deterministic_sample,all_members,soft_mass,mean_max_membership,mean_normalized_membership_entropy,highest_membership_words,strongest_members_outside_hard_cluster
0,46,0.4196762784403127,0.07226131631244381,0.13043478260869565,别致 | 古朴 | 优美 | 质朴 | 精致 | 艳丽 | 迷人 | 纯朴 | 优雅 | 朴实 | 甜美 | 浓郁,地道 | 原汁原味 | 浓郁 | 欢快 | 鲜艳 | 洋溢 | 丰满 | 诱人,甜美 | 秀美 | 丰富多彩 | 新奇 | 古朴 | 优美 | 浓郁 | 优雅 | 地道 | 亮丽 | 富有 | 动感,别致 | 古朴 | 优美 | 质朴 | 精致 | 艳丽 | 迷人 | 纯朴 | 优雅 | 朴实 | 甜美 | 浓郁 | 细腻 | 高雅 | 新颖 | 精美 | 秀丽 | 清新 | 动听 | 鲜艳 | 奇特 | 华丽 | 欢快 | 浪漫 | 悦耳 | 可爱 | 活泼 | 秀美 | 新奇 | 朴素 | 缤纷 | 动感 | 风情 | 情调 | 亮丽 | 逼真 | 酣畅 | 富有 | 诱人 | 洋溢 | 原汁原味 | 丰富多彩 | 别具匠心 | 丰满 | 点缀 | 地道,46.07613975439444,0.9992337585837533,0.0007127970915097989,精美:1.000000 | 别致:1.000000 | 浓郁:1.000000 | 缤纷:1.000000 | 诱人:1.000000 | 清新:1.000000 | 动感:1.000000 | 秀美:1.000000 | 丰富多彩:1.000000 | 优美:1.000000 | 秀丽:1.000000 | 纯朴:1.000000,高贵:0.084794 | 引人入胜:0.015564
1,70,0.38870725277769963,0.0485741600192027,0.11428571428571428,踹 | 扔 | 拽 | 磕 | 叼 | 蹦 | 揍 | 摔 | 砸 | 捡 | 捅 | 扒,穿 | 干 | 喷 | 耍 | 刮 | 偷 | 攒 | 吸,蹦 | 弄 | 挑 | 碰 | 摸 | 啃 | 撑 | 蹭 | 耍 | 砸 | 蹲 | 挤,踹 | 扔 | 拽 | 磕 | 叼 | 蹦 | 揍 | 摔 | 砸 | 捡 | 捅 | 扒 | 舔 | 扯 | 掏 | 摸 | 抠 | 蹭 | 踢 | 敲 | 躺 | 瞅 | 揪 | 扛 | 耍 | 打 | 溜 | 揣 | 丢 | 抖 | 捞 | 弄 | 撕 | 搬 | 碰 | 趴 | 搁 | 砍 | 挑 | 挨 | 蹲 | 啃 | 挤 | 坐 | 跳 | 搀 | 撑 | 翻 | 刮 | 偷 | 跪 | 摆 | 吹 | 刷 | 背 | 搭 | 攒 | 凑 | 抓 | 拣 | 捂 | 跑 | 盯 | 喷 | 干 | 哄 | 穿 | 装 | 扮 | 吸,70.19331722328006,0.9982691097962091,0.0019177123911462242,撕:1.000000 | 摆:1.000000 | 踢:1.000000 | 搭:1.000000 | 抠:1.000000 | 攒:1.000000 | 舔:1.000000 | 扯:1.000000 | 捅:1.000000 | 干:1.000000 | 掏:1.000000 | 耍:1.000000,挂:0.110389 | 甩:0.073103 | 拔:0.019999 | 放:0.016902 | 咬:0.010522
2,52,0.35969308084350177,0.021358612990877997,0.3076923076923077,讹诈 | 阻挠 | 煽动 | 挑衅 | 诽谤 | 纵容 | 恐吓 | 迫害 | 欺骗 | 谋害 | 谴责 | 阴谋,闹事 | 决不 | 猖狂 | 制止 | 钻空子 | 辩护 | 捣乱 | 袖手旁观,辩护 | 插手 | 报复 | 勾结 | 拒绝 | 引诱 | 大肆 | 制止 | 打倒 | 推卸 | 抗拒 | 恐吓,讹诈 | 阻挠 | 煽动 | 挑衅 | 诽谤 | 纵容 | 恐吓 | 迫害 | 欺骗 | 谋害 | 谴责 | 阴谋 | 公然 | 勾结 | 侮辱 | 无理 | 捣乱 | 企图 | 报复 | 猖狂 | 殴打 | 怠工 | 竟敢 | 虐待 | 背叛 | 鼓动 | 揭露 | 闹事 | 揭发 | 强迫 | 乘人之危 | 引诱 | 制止 | 逼迫 | 惩罚 | 借口 | 反对 | 拒绝 | 无恶不作 | 大肆 | 抵制 | 抗拒 | 推卸 | 插手 | 打倒 | 辩护 | 钻空子 | 袖手旁观 | 不顾 | 决不 | 斩草除根 | 矛头,52.028332344124294,0.9989026678865156,0.0011047587344561955,大肆:1.000000 | 怠工:1.000000 | 揭发:1.000000 | 企图:1.000000 | 公然:1.000000 | 猖狂:1.000000 | 阴谋:1.000000 | 推卸:1.000000 | 强迫:1.000000 | 借口:1.000000 | 乘人之危:1.000000 | 谋害:1.000000,干涉:0.051174
3,73,0.24843941765323002,-0.005669214180152291,0.547945205479452,测算 | 依据 | 估算 | 推算 | 根据 | 推断 | 分析 | 判定 | 推测 | 确定 | 计算 | 预测,审定 | 简要 | 解析 | 施行 | 变更 | 举例 | 曝光 | 潜在,据此 | 潜在 | 一致 | 简要 | 举例 | 简称 | 原 | 涉及 | 判定 | 评估 | 归属 | 推算,测算 | 依据 | 估算 | 推算 | 根据 | 推断 | 分析 | 判定 | 推测 | 确定 | 计算 | 预测 | 判断 | 统计 | 参照 | 界定 | 评估 | 认定 | 定义 | 如下 | 依照 | 具体 | 显示 | 按照 | 相关 | 披露 | 明确 | 据此 | 公布 | 评定 | 假设 | 解析 | 有关 | 参考 | 基于 | 得出 | 证实 | 发布 | 说明 | 上述 | 实际 | 举例 | 简要 | 对比 | 修正 | 针对 | 相应 | 变更 | 关联 | 涉及 | 审定 | 变动 | 后续 | 及 | 简称 | 一致 | 包括 | 及其 | 经 | 名称 | 关于 | 以下 | 来源 | 官方 | 未经 | 参见 | 对象 | 潜在 | 原 | 个案 | 曝光 | 归属 | 施行,73.00635484537997,0.9955943379151796,0.003933948112163225,经:1.000000 | 针对:1.000000 | 确定:1.000000 | 变动:1.000000 | 如下:1.000000 | 具体:1.000000 | 推算:1.000000 | 参照:1.000000 | 证实:1.000000 | 审定:0.999999 | 判断:0.999999 | 得出:0.999999,由:0.063846 | 率:0.048645 | 公开:0.033894 | 对应:0.017447 | 其中:0.017311 | 区分:0.013200 | 评审:0.011180 | 争议:0.010108
4,35,0.33953540884891126,0.033022803995540174,0.2571428571428571,荡漾 | 弥漫 | 流淌 | 闪烁 | 绽放 | 波涛 | 耸立 | 照耀 | 笼罩 | 光芒 | 汹涌 | 盛开,浓重 | 歌声 | 回首 | 寂静 | 往日 | 连绵 | 布满 | 摇摆,无边 | 如一 | 汹涌 | 荡漾 | 簇拥 | 摇摆 | 扑面而来 | 盛开 | 流淌 | 弥漫 | 跳动 | 笼罩,荡漾 | 弥漫 | 流淌 | 闪烁 | 绽放 | 波涛 | 耸立 | 照耀 | 笼罩 | 光芒 | 汹涌 | 盛开 | 朦胧 | 寂静 | 沸腾 | 布满 | 连绵 | 扑面而来 | 屹立 | 望见 | 跳动 | 歌声 | 徐徐 | 簇拥 | 浮现 | 起伏 | 无边 | 散发 | 显出 | 浓重 | 回首 | 如一 | 点燃 | 摇摆 | 往日,34.99497430056236,0.9997263331634874,0.00035708173988920614,耸立:1.000000 | 布满:1.000000 | 连绵:1.000000 | 屹立:1.000000 | 荡漾:1.000000 | 徐徐:1.000000 | 沸腾:1.000000 | 回首:1.000000 | 朦胧:1.000000 | 点燃:1.000000 | 显出:1.000000 | 如一:0.999999,
5,27,0.2843667556980027,-0.009607889675001216,0.5185185185185185,跳跃 | 奔跑 | 穿越 | 飞翔 | 探险 | 观赏 | 捕捉 | 触摸 | 撞击 | 行走 | 拍摄 | 操控,冲浪 | 环绕 | 观看 | 集结 | 搜寻 | 隐身 | 观测 | 驾驭,集结 | 冲浪 | 触摸 | 漫游 | 撞击 | 投射 | 跨越 | 隐身 | 操控 | 驾驭 | 搜寻 | 观赏,跳跃 | 奔跑 | 穿越 | 飞翔 | 探险 | 观赏 | 捕捉 | 触摸 | 撞击 | 行走 | 拍摄 | 操控 | 投射 | 漫游 | 冲浪 | 体验 | 观测 | 驾驭 | 观看 | 搜寻 | 环绕 | 跨越 | 碰撞 | 进化 | 隐身 | 传递 | 集结,26.996305962936354,0.9998588266622382,0.00018880525499000833,飞翔:1.000000 | 奔跑:1.000000 | 穿越:1.000000 | 触摸:1.000000 | 拍摄:1.000000 | 操控:1.000000 | 跳跃:1.000000 | 体验:1.000000 | 捕捉:1.000000 | 集结:1.000000 | 驾驭:1.000000 | 碰撞:1.000000,
6,55,0.415488224125693,0.054141690839573965,0.2,薯片 | 饼干 | 饮料 | 果汁 | 薯条 | 零食 | 点心 | 卤味 | 巧克力 | 烤肉 | 水果 | 汽水,肥皂 | 彩电 | 洗衣粉 | 鞭炮 | 爆竹 | 小吃 | 沐浴露 | 牙膏,桑拿 | 葡萄酒 | 洗衣粉 | 蛋糕 | 盒饭 | 口香糖 | 肥皂 | 红茶 | 水果 | 餐 | 薯片 | 香水,薯片 | 饼干 | 饮料 | 果汁 | 薯条 | 零食 | 点心 | 卤味 | 巧克力 | 烤肉 | 水果 | 汽水 | 海鲜 | 咖啡 | 红酒 | 罐头 | 火锅 | 糖果 | 啤酒 | 月饼 | 小吃 | 快餐 | 寿司 | 中餐 | 冰棍儿 | 方便面 | 可乐 | 西餐 | 红茶 | 烧烤 | 早餐 | 盒饭 | 蛋糕 | 粽子 | 三明治 | 烤鸭 | 口香糖 | 酒水 | 矿泉水 | 喜糖 | 主食 | 葡萄酒 | 餐 | 沐浴露 | 牙膏 | 洗衣粉 | 料理 | 肥皂 | 香水 | 麻将 | 鞭炮 | 杯 | 桑拿 | 爆竹 | 彩电,54.953039379758295,0.9961900286957173,0.0031109859119664994,烧烤:1.000000 | 中餐:1.000000 | 快餐:1.000000 | 烤肉:1.000000 | 西餐:1.000000 | 酒水:1.000000 | 爆竹:1.000000 | 海鲜:1.000000 | 啤酒:1.000000 | 喜糖:1.000000 | 桑拿:1.000000 | 小吃:1.000000,酸奶:0.095943 | 西瓜:0.014884
7,51,0.31736116853296487,-0.0040425954339671265,0.5490196078431373,贴切 | 简洁 | 恰当 | 生动 | 精妙 | 清晰 | 工整 | 准确 | 详尽 | 流畅 | 严谨 | 透彻,单一 | 透明 | 自如 | 不同寻常 | 流畅 | 十分 | 生动 | 简洁,极其 | 简单 | 合乎 | 千变万化 | 精确 | 详尽 | 深奥 | 真实 | 透彻 | 自如 | 恰当 | 微妙,贴切 | 简洁 | 恰当 | 生动 | 精妙 | 清晰 | 工整 | 准确 | 详尽 | 流畅 | 严谨 | 透彻 | 恰如其分 | 简单 | 巧妙 | 有趣 | 鲜明 | 直观 | 精练 | 深奥 | 精确 | 耐人寻味 | 微妙 | 简短 | 复杂 | 真实 | 恰到好处 | 紧凑 | 相似 | 宽泛 | 细微 | 通俗 | 吻合 | 醒目 | 极其 | 千变万化 | 可信 | 合乎 | 通顺 | 不同寻常 | 一目了然 | 寻常 | 极为 | 分明 | 十分 | 画龙点睛 | 熟悉 | 相同 | 自如 | 透明 | 单一,50.933722152968016,0.9971344768633448,0.002921218377716094,清晰:1.000000 | 醒目:1.000000 | 精练:1.000000 | 细微:1.000000 | 巧妙:1.000000 | 简短:1.000000 | 深奥:1.000000 | 恰如其分:1.000000 | 精妙:1.000000 | 流畅:1.000000 | 恰到好处:1.000000 | 紧凑:1.000000,对称:0.043910 | 截然不同:0.017302
8,79,0.22168950802668344,-0.035172700781345746,0.8354430379746836,进而 | 从而 | 使得 | 势必 | 将 | 一方面 | 必将 | 对于 | 由此 | 逐步 | 并且 | 同时,确信 | 始终 | 首先 | 即 | 认为 | 并且 | 外界 | 重新,首先 | 在于 | 以 | 得以 | 为 | 始终 | 同等 | 一方面 | 使得 | 不利于 | 未来 | 使,进而 | 从而 | 使得 | 势必 | 将 | 一方面 | 必将 | 对于 | 由此 | 逐步 | 并且 | 同时 | 使 | 意味着 | 另一方面 | 逐渐 | 取决于 | 有望 | 不利于 | 致使 | 并 | 在于 | 反过来 | 最终 | 以及 | 能否 | 对 | 鉴于 | 其 | 得以 | 与此同时 | 表明 | 随着 | 不断 | 无法 | 未来 | 自身 | 源于 | 与其 | 后者 | 首先 | 大大 | 继续 | 长期 | 即 | 与 | 和 | 决定 | 出于 | 重新 | 间接 | 主要 | 尚未 | 今后 | 其中 | 双重 | 始终 | 以 | 从中 | 已 | 视为 | 来源于 | 为此 | 当下 | 认为 | 除 | 迟迟 | 得到 | 确信 | 外界 | 分别 | 首要 | 为 | 各自 | 所 | 于 | 持有 | 变为 | 同等,80.09580278070287,0.9957060165106598,0.004110847636177529,进而:1.000000 | 对:1.000000 | 使:1.000000 | 同时:1.000000 | 以:1.000000 | 重新:1.000000 | 能否:1.000000 | 得以:1.000000 | 逐步:0.999999 | 致使:0.999997 | 逐渐:0.999997 | 不利于:0.999996,当前:0.454372 | 彻底:0.191492 | 由于:0.124874 | 必须:0.096332 | 起到:0.058888 | 至此:0.046344 | 由:0.040590 | 及:0.038594
9,42,0.29684506134535243,-0.004600151092362054,0.47619047619047616,艰苦奋斗 | 团结 | 发扬 | 自强不息 | 弘扬 | 祖国 | 富强 | 社会主义 | 中华民族 | 公仆 | 自力更生 | 爱国,学子 | 辛勤 | 一心 | 同舟共济 | 艰苦奋斗 | 自强不息 | 精神 | 干事,民主 | 事业 | 模范 | 一心 | 人民 | 干事 | 革命 | 成才 | 自强不息 | 爱国 | 同舟共济 | 同胞,艰苦奋斗 | 团结 | 发扬 | 自强不息 | 弘扬 | 祖国 | 富强 | 社会主义 | 中华民族 | 公仆 | 自力更生 | 爱国 | 人民 | 榜样 | 民主 | 觉悟 | 楷模 | 革命 | 志气 | 同舟共济 | 成才 | 争光 | 和平 | 党 | 精神 | 模范 | 辛勤 | 改革开放 | 造福 | 事业 | 保卫 | 表率 | 哺育 | 扎根 | 致富 | 大家庭 | 干事 | 互助 | 同胞 | 解放 | 学子 | 一心,41.632246914617966,0.9911361756547766,0.005403872982922726,扎根:1.000000 | 造福:1.000000 | 争光:1.000000 | 学子:1.000000 | 保卫:1.000000 | 辛勤:1.000000 | 干事:1.000000 | 致富:0.999999 | 公仆:0.999999 | 大家庭:0.999999 | 弘扬:0.999999 | 哺育:0.999998,
