token,community
〇,0
一,1
一一,2
一下子,2
一不小心,2
一举,2
一举一动,3
一事无成,3
一些,2
一代,4
一会儿,3
一体,5
一共,2
一再,2
一切,2
一刹那,2
一动不动,3
一半,2
一卡通,6
一口气,3
一句话,3
一同,7
一向,2
一味,3
一块儿,3
一塌糊涂,3
一声不吭,3
一大早,8
一天到晚,3
一头,9
一如既往,2
一定,2
一家人,3
一帆风顺,3
一带,9
一干二净,10
一年到头,3
一应俱全,5
一度,2
一律,2
一心,3
一心一意,3
一成不变,3
一手,11
一技之长,12
一把手,7
一揽子,13
一方面,2
一旁,3
一无所有,3
一无所知,3
一旦,2
一早,8
一时,2
一晃,3
一样,2
一概,2
一概而论,14
一模一样,5
一次性,15
一毛不拔,16
一流,17
一点儿,3
一生,3
一番,18
一目了然,10
一直,2
一眼,3
一瞬间,2
一筹莫展,3
一系列,2
一线,7
一经,2
一致,5
一般,2
一般来说,2
一行,7
一言一行,3
一言不发,3
一贯,2
一起,3
一路,19
一路上,9
一路平安,3
一路顺风,3
一身,9
一辈子,3
一边,3
一连,2
一连串,2
一道,20
一部分,2
一锅粥,3
一长一短,9
一阵,3
一面,2
一鼓作气,3
一齐,2
丁,21
七,1
七嘴八舌,3
万,1
万一,2
万万,1
万分,2
万古长青,3
万无一失,22
万能,17
丈夫,3
三,1
三明治,9
三番五次,3
三维,14
三角,23
上,9
上下,24
上个月,8
上任,7
上升,22
上午,8
上去,3
上台,7
上司,3
上周,8
上场,12
上头,9
上学,12
上岗,7
上市,6
上帝,3
上当,3
上报,6
上方,9
上旬,8
上映,12
上期,8
上来,3
上楼,9
上次,8
上流,25
上涨,22
上游,25
上演,22
上火,9
上班,3
上班族,12
上瘾,3
上空,9
上级,7
上网,26
上衣,9
上诉,27
上课,12
上调,22
上车,9
上边,9
上述,2
上门,7
上限,14
上面,9
下,28
下一代,4
下个月,8
下乡,7
下令,3
下决心,3
下功夫,28
下午,8
下去,3
下台,7
下场,3
下坠,3
下属,29
下山,9
下岗,7
下意识,3
下手,30
下旬,8
下期,8
下来,3
下棋,3
下楼,3
下次,2
下海,7
下游,25
下班,3
下级,7
下落,28
下课,12
下调,22
下跌,22
下车,9
下载,12
下边,9
下降,22
下雨,9
下雪,9
下面,9
不,2
不一会儿,2
不一定,2
不为人知,27
不久,2
不了了之,3
不予,27
不亚于,2
不亦乐乎,3
不仅,2
不仅仅,2
不以为然,3
不但,2
不便,28
不值,3
不假思索,3
不停,3
不像话,3
不光,2
不免,2
不再,2
不准,2
不利,28
不利于,2
不可思议,3
不可避免,2
不同,5
不同寻常,3
不在乎,3
不堪,3
不够,2
不大,2
不好意思,3
不如,2
不如说,2
不妨,2
不安,3
不定,22
