community,size,internal_edges,weighted_density,connected
0,1,0,,True
1,14,76,0.6804042673045463,True
2,12,42,0.47928792599475745,True
3,47,617,0.42843261922155673,True
4,20,128,0.5114120574373948,True
5,4,5,0.6111322666207949,True
6,4,4,0.5200993046164513,True
7,6,12,0.599186705549558,True
8,21,130,0.4679154171830132,True
9,3,3,0.7878265678882599,True
10,24,181,0.48104474342603615,True
11,3,2,0.48457607130209607,True
12,15,72,0.5289020230372746,True
13,14,60,0.5059786343967522,True
14,21,119,0.42914825883649643,True
15,16,73,0.44840709877510865,True
16,4,4,0.48841731746991474,True
17,22,138,0.4413286712004509,True
18,11,36,0.48873389905149284,True
19,7,13,0.4633054172708875,True
20,11,38,0.529565399072387,True
21,6,11,0.5546323408683141,True
22,4,5,0.6108557507395744,True
23,179,8612,0.39912217506659126,True
24,43,588,0.4992386380567371,True
25,10,35,0.5873510887225469,True
26,4,5,0.6110032250483831,True
27,4,4,0.48764873047669727,True
28,140,5832,0.4516598272345049,True
29,8,19,0.505931883518185,True
30,8,19,0.5055345397974763,True
31,8,17,0.4629179271204131,True
32,29,244,0.4500709637045273,True
33,4,5,0.6118188326557478,True
34,3,2,0.48189781109491986,True
35,20,139,0.5418574594353375,True
36,1,0,,True
37,1,0,,True
38,5,10,0.7572257339954376,True
39,60,1090,0.46155057738056293,True
40,4,5,0.625004731118679,True
41,4,5,0.6317521606882414,True
42,16,84,0.5334649043778579,True
43,8,19,0.49625890382698606,True
44,1,0,,True
45,1,0,,True
46,11,36,0.4906361677429893,True
47,72,1437,0.4147272823911877,True
48,7,17,0.6087145755688349,True
49,2,1,0.7761057019233704,True
50,2,1,0.7008635699748993,True
51,14,58,0.4655470630297294,True
52,3,3,0.7399008274078369,True
53,4,4,0.5052064806222916,True
54,1,0,,True
55,18,101,0.508944441874822,True
56,38,466,0.49980557922957464,True
57,17,94,0.5307031963020563,True
58,3,3,0.7631598562002182,True
59,12,37,0.4165307929118474,True
60,27,209,0.44492828217666713,True
61,5,7,0.5328153908252716,True
62,7,13,0.4585050784406208,True
63,5,8,0.5931655958294868,True
64,7,16,0.5819571706510726,True
65,2,1,0.7248880714178085,True
66,10,33,0.5547528912623724,True
67,6,11,0.5521201372146607,True
68,2,1,0.7775672376155853,True
69,164,7495,0.4160577359290318,True
70,4,4,0.4907312070329984,True
71,2,1,0.736763060092926,True
72,3,2,0.529495120048523,True
73,3,2,0.4789738456408183,True
74,26,184,0.42695872008800506,True
75,37,401,0.45147142433994886,True
76,30,249,0.4295346001098896,True
77,15,79,0.5684327731529871,True
78,7,16,0.5641572603157589,True
79,6,12,0.5953426450490952,True
80,8,17,0.456350351018565,True
81,23,166,0.49055610744378314,True
82,9,22,0.452576857060194,True
83,3,2,0.47693157692750293,True
84,9,22,0.4495150057805909,True
85,7,16,0.5613548734358379,True
86,5,8,0.5937838941812515,True
87,6,12,0.6028651028871537,True
88,17,91,0.5159804669811445,True
89,35,396,0.5008141765324008,True
90,6,10,0.4876656134923299,True
91,81,1972,0.4561224434202836,True
92,23,153,0.45230081860020227,True
93,6,10,0.48542014360427854,True
94,8,17,0.4569607361086777,True
95,4,4,0.49428649495045346,True
96,27,220,0.46241021028950685,True
97,39,502,0.5015987546739952,True
98,8,20,0.5309342960161822,True
99,15,68,0.4892864865916116,True
100,14,66,0.54558744093219,True
101,3,2,0.4913748304049174,True
102,73,1762,0.5086884038293198,True
103,34,345,0.46364823961215434,True
104,44,550,0.4321896049329897,True
105,7,13,0.4506751795609792,True
106,2,1,0.7669253945350647,True
107,7,13,0.4605245341857274,True
108,5,9,0.6602552562952042,True
109,28,217,0.42703321028165714,True
110,8,16,0.42862031342727797,True
111,8,21,0.5593429202479976,True
112,5,8,0.5974751010537147,True
113,13,52,0.5013880529082738,True
114,5,7,0.5218825623393059,True
115,8,21,0.5488918333181313,True
116,4,4,0.49320415904124576,True
117,3,2,0.4966493894656499,True
118,8,19,0.4943170558129038,True
119,38,433,0.46062952723052053,True
120,19,107,0.4765613252482219,True
121,11,34,0.45813576579093934,True
122,5,8,0.5846788361668587,True
123,24,175,0.4769349019380583,True
124,8,16,0.414717896176236,True
125,10,26,0.4319932381312052,True
126,15,71,0.5134197147119612,True
127,8,20,0.5259819914187703,True
128,51,791,0.461960609274752,True
129,15,71,0.511075516541799,True
130,4,4,0.4851182699203491,True
131,11,45,0.6059774322943254,True
132,86,2129,0.4311801033861497,True
133,13,50,0.4911036737836324,True
134,8,19,0.5235094497246402,True
135,24,166,0.4445374402339044,True
136,14,58,0.47716306166334466,True
137,11,42,0.5780215805227106,True
138,13,50,0.4731672729055087,True
139,37,436,0.4959612248672379,True
