token,community,best_cluster_match_fraction
〇,0,1.0
一,1,0.5
一一,2,0.25
一下子,3,0.25
一不小心,4,1.0
一举,5,0.75
一举一动,6,1.0
一事无成,7,1.0
一些,8,0.5
一代,9,1.0
一会儿,10,0.5
一体,11,1.0
一共,12,1.0
一再,13,1.0
一切,14,0.0
一刹那,3,1.0
一动不动,15,0.75
一半,16,1.0
一卡通,17,0.75
一口气,18,1.0
一句话,19,0.75
一同,20,1.0
一向,21,1.0
一味,22,1.0
一块儿,20,0.5
一塌糊涂,23,1.0
一声不吭,15,1.0
一大早,24,1.0
一天到晚,25,1.0
一头,26,1.0
一如既往,27,1.0
一定,28,0.75
一家人,29,1.0
一帆风顺,30,0.5
一带,31,0.75
一干二净,32,1.0
一年到头,25,1.0
一应俱全,33,1.0
一度,5,0.25
一律,34,0.75
一心,35,0.5
一心一意,35,0.5
一成不变,36,1.0
一手,37,1.0
一技之长,38,0.25
一把手,39,1.0
一揽子,40,1.0
一方面,41,0.75
一旁,42,1.0
一无所有,7,1.0
一无所知,7,1.0
一旦,43,1.0
一早,24,1.0
一时,44,1.0
一晃,3,0.25
一样,45,0.75
一概,2,0.25
一概而论,46,1.0
一模一样,47,1.0
一次性,48,1.0
一毛不拔,49,1.0
一流,50,1.0
一点儿,51,0.5
一生,52,0.0
一番,53,1.0
一目了然,54,1.0
一直,21,1.0
一眼,15,0.75
一瞬间,3,1.0
一筹莫展,55,1.0
一系列,56,0.25
一线,57,1.0
一经,2,1.0
一致,58,1.0
一般,8,0.75
一般来说,59,1.0
一行,60,1.0
一言一行,6,1.0
一言不发,15,1.0
一贯,21,1.0
一起,20,1.0
一路,31,0.25
一路上,61,0.75
一路平安,62,0.75
一路顺风,62,0.75
一身,11,1.0
一辈子,63,1.0
一边,64,1.0
一连,65,1.0
一连串,56,0.25
一道,66,0.75
一部分,16,0.75
一锅粥,67,1.0
一长一短,68,0.75
一阵,69,1.0
一面,64,1.0
一鼓作气,70,0.75
一齐,20,0.5
丁,71,1.0
七,1,1.0
七嘴八舌,72,0.25
万,73,1.0
万一,4,1.0
万万,74,1.0
万分,75,1.0
万古长青,76,1.0
万无一失,77,1.0
万能,78,1.0
丈夫,29,1.0
三,1,1.0
三明治,79,1.0
三番五次,13,0.75
三维,80,1.0
三角,81,1.0
上,82,1.0
上下,83,0.75
上个月,84,1.0
上任,85,1.0
上升,86,1.0
上午,24,1.0
上去,87,1.0
上台,88,1.0
上司,89,1.0
上周,90,0.25
上场,91,1.0
上头,82,1.0
上学,92,1.0
上岗,93,1.0
上市,94,1.0
上帝,95,0.5
上当,96,1.0
上报,97,0.75
上方,98,0.5
上旬,84,1.0
上映,99,1.0
上期,100,1.0
上来,87,1.0
上楼,101,1.0
上次,102,0.75
上流,103,0.5
上涨,86,1.0
上游,104,1.0
上演,105,1.0
上火,106,0.75
上班,101,0.5
上班族,107,1.0
上瘾,108,0.75
上空,109,1.0
上级,89,1.0
上网,110,1.0
上衣,111,1.0
上诉,112,1.0
上课,113,0.75
上调,114,0.75
上车,101,0.0
上边,42,1.0
上述,115,0.5
上门,116,1.0
上限,117,1.0
上面,42,1.0
下,118,1.0
下一代,9,1.0
下个月,84,1.0
下乡,119,0.25
下令,120,0.75
下决心,121,1.0
