community,size,mean_pair_cosine,mean_cosine_silhouette,negative_silhouette_fraction,representatives,boundary_words,deterministic_sample,all_members
10,5,0.3609846772583098,0.08685269108360778,0.4,一应俱全 应有尽有 一体 配套 为主,为主 配套 一体 应有尽有 一应俱全,配套 为主 一应俱全 应有尽有 一体,一应俱全 应有尽有 一体 配套 为主
11,22,0.3911615016410033,0.1086123366066945,0.2727272727272727,总共 共计 总计 一共 约 共 大约 合计 共有 累计 将近 仅,平均 整整 近 只有 分别 计 为期 总,共有 共 仅 约 总 总共 只有 总计 合计 长达 大约 近,总共 共计 总计 一共 约 共 大约 合计 共有 累计 将近 仅 平均 折合 整整 近 长达 分别 计 只有 总 为期
12,450,0.33529545670461364,-0.03552149399361887,0.7022222222222222,羞愧 心疼 诧异 沮丧 气愤 叹气 生气 惊讶 难过 伤心 厌烦 茫然,遗憾 打搅 无聊 惦记 空虚 客气 反驳 发泄,哀求 取笑 惊慌失措 苦难 怜惜 佩服 插嘴 红扑扑 疲倦 追问 吃惊 半信半疑,羞愧 心疼 诧异 沮丧 气愤 叹气 生气 惊讶 难过 伤心 厌烦 茫然 惭愧 吃惊 惊诧 委屈 怜惜 害臊 好笑 慌张 惋惜 不耐烦 苦笑 埋怨 伤感 愁眉苦脸 难受 难为情 责怪 害怕 嫉妒 责备 怨恨 难堪 胆怯 为难 扫兴 不服气 焦躁 不屑 烦躁 苦恼 冷笑 悔恨 焦急 心酸 激动 妒忌 发愣 悲哀 愤怒 惊慌 哭 不解 轻蔑 摇头 疑惑 感激 悲伤 痛心 哭笑不得 嘲笑 慌乱 纳闷儿 羡慕 自责 心慌 失望 绝望 高兴 垂头丧气 痛苦 哭泣 别扭 着急 疲倦 哆嗦 讥笑 打岔 不安 小声 笑 骂 欣慰 嫌弃 客气 畏惧 自言自语 咧嘴 后悔 欣喜 忧愁 兴奋 无可奈何 狼狈 惊奇 反感 慌 无奈 恨 发怒 疲惫 漠然 唠叨 过意不去 得意 恐惧 恼羞成怒 取笑 耻笑 感慨 讨厌 凄凉 泄气 一声不吭 迟疑 安慰 流泪 害羞 呜咽 敬佩 发脾气 奇怪 迷惑不解 感动 哀求 目瞪口呆 得意扬扬 不好意思 烦闷 惊慌失措 嬉笑 尴尬 灰心 自卑 抱怨 神情 恍然大悟 发抖 失落 犹豫 胡闹 大声 冤枉 歉意 眉开眼笑 絮叨 疼 颤抖 瞧不起 无话可说 神气 走开 介意 无聊 一言不发 哼 挖苦 插嘴 悲痛 丢脸 怕 佩服 大惊小怪 好奇 可笑 恋恋不舍 心里 气馁 亲热 开心 困惑 挂念 寂寞 面红耳赤 半信半疑 脸色 焦虑 抱歉 扭头 畏缩 丢人 钦佩 点头 鄙视 忍不住 感叹 不理 惊叹 恶心 嚷 消沉 好意 嘲弄 骄傲 可怜 胡思乱想 痛快 说闲话 理睬 爱理不理 受不了 看不起 不以为然 同情 自豪 赞叹 反问 忧郁 依依不舍 眼泪 愣 担心 敬重 沉默 没劲 无精打采 想念 孤单 留恋 震惊 庆幸 感到 沉思 推辞 质问 说话 吵嘴 大吃一惊 孤独 怨 可悲 泪水 吵架 夸奖 怨气 冷淡 惨白 撒谎 打盹儿 眼红 恭维 哄堂大笑 口气 怨言 疲惫不堪 告辞 讽刺 不已 通红 原谅 醒悟 厌倦 遗憾 烦 讨好 舍不得 舒服 开玩笑 情愿 倒霉 情不自禁 目不转睛 交头接耳 提心吊胆 眼神 头疼 表情 瞪 禁不住 听见 心事 惊醒 怀念 没辙 前仰后合 陶醉 恳求 难看 体谅 窘迫 惦记 睡着 没意思 笑容 吵 吓唬 怀里 微笑 在意 忧虑 对不起 同感 怀疑 误会 麻木 忙乱 喜出望外 喜悦 耍赖 操心 欺负 说 碍事 怠慢 一动不动 牵挂 假装 问 发火 感触 吃力 左顾右盼 思索 出丑 红扑扑 痛 伤脑筋 精疲力竭 迷惑 由衷 慌忙 心急如焚 半真半假 受苦 诉说 发愁 压抑 犹豫不决 调侃 眼色 招呼 理会 挨打 忙 在乎 诉苦 语气 辩解 不禁 耻辱 挣扎 打搅 不由得 辛苦 受惊 赞许 死心 惨 怪 无所事事 说谎 刁难 难听 不满 美滋滋 仇恨 说道 吩咐 出洋相 动弹 着迷 打量 下意识 满怀 小心翼翼 内心 倾诉 稀罕 好感 东张西望 思念 低头 烦恼 不像话 辛酸 心情 折磨 坐下 会意 冒昧 夸耀 恐慌 认错 振奋 尊敬 计较 虚弱 一眼 偷看 兴高采烈 悲惨 深思 鸦雀无声 附和 愁 七嘴八舌 追问 担忧 泪 劳累 打扰 笑话 费劲 起劲 可怕 眨眼 不平 深情 指责 赞美 犯愁 道歉 脱口而出 炫耀 反驳 要命 崇拜 逗 够呛 惊喜 大模大样 发泄 不堪 打招呼 吓人 颓废 胡说 冤 走投无路 议论 不值 满意 麻烦 得罪 异口同声 苦 告状 一筹莫展 厉害 空虚 苦难 指着 惨痛 赞叹不已 示意 称赞 夸 荣幸 赞不绝口
13,45,0.35187913140154403,0.004895909447668033,0.5111111111111111,银行卡 存折 信用卡 支票 汇款 取款 存款 外币 账户 挂失 账单 贷款,资金 贷款 卡片 磁卡 宝 卡 私房钱 银行,取款 密码 公积金 银行 卡 钱包 宝 款项 挂失 储蓄 一卡通 取款机,银行卡 存折 信用卡 支票 汇款 取款 存款 外币 账户 挂失 账单 贷款 储蓄 活期 钱包 银行 取款机 零钱 付款 余额 现金 钞票 借条 理财 发票 一卡通 兑换 磁卡 款项 卡片 信贷 欠条 账 账号 货币 外汇 公积金 密码 私房钱 硬币 资金 卡 消费 金融 宝
14,3,0.4100879853641002,0.12250848480559844,0.3333333333333333,一连 连 一口气,一口气 连 一连,一连 一口气 连,一连 连 一口气
15,73,0.329544431854322,-0.015219989838083014,0.5753424657534246,词语 词汇 读音 词 汉语 英文 汉字 句子 名字 字母 地名 文字,括号 概念 简称 段落 图形 地道 语音 文字,概念 谜语 成语 图形 读音 词汇 叫 句 姓 字 简称 句子,词语 词汇 读音 词 汉语 英文 汉字 句子 名字 字母 地名 文字 音节 日语 语法 俗语 繁体字 语言 俄语 符号 成语 中文 法语 称呼 字 方言 字眼 字体 简体字 普通话 错别字 含义 意思 姓氏 阿拉伯语 字典 翻译 句 谜语 西班牙语 涵义 名言 话语 口音 记号 流利 言语 字迹 括号 外文 书写 绰号 外号 口号 段落 开头 一句话 语音 名称 俗话 对联 姓 来历 叫 由来 命名 交际 代号 图形 概念 地道 改名 简称
16,18,0.33206601109847295,0.006826187031466181,0.5,共同 联手 协同 携手 联合 协作 一同 协调 一起 牵头 共同体 统筹,牵头 共同体 相约 统一 组织 联盟 协调 同步,牵头 联手 联盟 一道 一起 共同 联合 组织 协调 同步 共同体 相约,共同 联手 协同 携手 联合 协作 一同 协调 一起 牵头 共同体 统筹 组织 联盟 同步 统一 相约 一道
17,13,0.44011438683370724,0.201566403290455,0.0,一向 一贯 向来 一直 始终 历来 多年来 长期以来 多年 自始至终 常年 一如既往,之所以 常年 自始至终 多年 一如既往 多年来 一直 长期以来,始终 历来 一贯 之所以 多年来 一如既往 长期以来 向来 多年 常年 自始至终 一直,一向 一贯 向来 一直 始终 历来 多年来 长期以来 多年 自始至终 常年 一如既往 之所以
18,15,0.3653158950626762,0.061262836598600594,0.26666666666666666,单纯 片面 纯粹 一味 简单 笼统 单一 盲目 抽象 僵化 单方面 只顾,只顾 纯 单方面 通俗 孤立 僵化 抽象 单一,通俗 简单 纯粹 笼统 纯 盲目 僵化 单方面 片面 只顾 单纯 单一,单纯 片面 纯粹 一味 简单 笼统 单一 盲目 抽象 僵化 单方面 只顾 孤立 通俗 纯
19,268,0.35168105395507904,-0.011358294278563233,0.585820895522388,闺女 姐姐 嫂子 姑姑 妹妹 舅舅 爸爸 哥哥 爸 爹 媳妇 奶奶,双胞胎 姐妹 小人 母子 亲生 子孙 回来 抚养,爱人 太太 没关系 年迈 胖子 拜托 祖宗 子女 子孙 哥哥 不要紧 那会儿,闺女 姐姐 嫂子 姑姑 妹妹 舅舅 爸爸 哥哥 爸 爹 媳妇 奶奶 妈 妈妈 姥姥 老婆 爷爷 伯母 叔叔 儿子 姥爷 大姐 弟弟 女儿 大哥 母亲 大爷 父亲 外婆 老公 阿姨 姐 孩子 她 小孩儿 孙女 老头儿 伯父 男朋友 女朋友 老太太 伯伯 丫头 娘 姑娘 亲戚 父母 外公 长辈 你 太太 我 小偷儿 家人 老伴儿 孙子 岳母 贪玩儿 丈夫 岳父 大人 妹 老人家 祖母 妻子 朋友 师父 两口子 女孩儿 姨 人家 女婿 他 爱人 老乡 哎 呀 你们 同学 闹着玩儿 俩 大妈 小伙子 人缘儿 哎呀 继父 男人 咱 家伙 聊天儿 唉 老汉 家里 哈哈 啊 邻居 继母 亲人 老师 女人 男孩儿 师傅 胖子 弟 儿女 回家 没事儿 亲生 她们 嘛 老人 同事 一家人 徒弟 乖 别人 姐妹 老王 寡妇 母女 帅哥 恩人 哥 老家 小朋友 伺候 玩儿 拜托 回去 女生 笨蛋 同伴 吧 男生 哇 朋友们 宝宝 兜儿 疯子 娶 嘿 仇人 老大 小时候 瞧 皇上 大伙儿 小姐 老板 乡下 这会儿 侍候 好心人 咱们 祖父 娃娃 回来 请坐 亲朋好友 干吗 保姆 空儿 父女 主人 待会儿 傻 哦 干活儿 战友 好玩儿 帮忙 快点儿 情人 离谱儿 全家 新娘 在家 乡亲 晓得 喂 宝贝 画儿 他们 结婚 小王 陪 孝敬 亲友 祖宗 啦 新郎 熟人 那会儿 家长 个儿 老朋友 嫁 没说的 有两下子 辈 班长 胖 大款 大家 好好 一块儿 敢情 小人 不敢当 谢谢 挺好 母子 自己 夫人 瞎 兄弟 活该 活儿 请客 主妇 友人 子女 美女 长大 木匠 玩意儿 年迈 不要紧 好家伙 没关系 人 仙女 好友 一点儿 女 少女 实话 子孙 相依为命 您 公主 上司 家属 男 前辈 家务 从小 逼 美人 改日 诸位 巫婆 父子 童年 不行 家境 夫妻 弟子 双胞胎 夫妇 家乡 废话 抚养 亲属 没用 凑合 算了 去世
