partition,anchor,community,size,duplicate_of_anchor,centers,fixed_sample,boundary,members
control t=0.7 unshifted q=0.3,足球,299,40,,体操 乒乓球 田径 篮球 羽毛球 网球 排球 举重,跳远 太极拳 武术 帆船 球拍 健身 跑步 棒球,太极拳 教练 武术 帆船 登山 健身,举重 乒乓球 体操 健美 健身 冲浪 划船 台球 太极拳 射击 帆船 打球 排球 摔跤 教练 棒球 武术 游泳 滑冰 滑雪 球拍 田径 登山 竞技 篮球 网球 羽毛球 赛车 足球 跑步 跳伞 跳水 跳远 跳高 运动 运动会 运动员 长跑 高尔夫球 龙舟
control t=0.7 unshifted q=0.3,老师,26,134,,姑姑 舅舅 姐姐 妹妹 嫂子 爸爸 哥哥 奶奶,胖子 宝宝 女儿 太太 家里 全家 岳母 母子,亲属 老王 朋友 男人 别人 贪玩儿,一家人 丈夫 两口子 丫头 主人 乡下 乡亲 亲人 亲友 亲属 亲戚 亲朋好友 亲生 仇人 他 伯伯 伯母 伯父 你 保姆 俩 儿女 儿子 全家 别人 叔叔 同事 同伴 同学 哥 哥哥 外公 外婆 大人 大哥 大妈 大姐 大爷 太太 夫人 夫妇 女人 女儿 女婿 女孩儿 女朋友 奶奶 她 她们 妈 妈妈 妹 妹妹 妻子 姐 姐妹 姐姐 姑姑 姑娘 姥姥 姥爷 姨 娘 娶 媳妇 嫂子 子女 孙女 孙子 孩子 宝宝 家人 家里 寡妇 小伙子 小姐 小孩儿 小时候 小朋友 岳母 岳父 帅哥 师傅 师父 弟 弟弟 徒弟 恩人 情人 我 战友 新娘 新郎 朋友 母亲 母女 母子 爱人 父亲 父女 父子 父母 爷爷 爸 爸爸 爹 男人 男孩儿 男朋友 祖母 祖父 继母 继父 老乡 老人 老人家 老伴儿 老公 老大 老太太 老头儿 老婆 老家 老师 老板 老汉 老王 胖子 舅舅 贪玩儿 邻居 长辈 闺女 阿姨
control t=0.7 unshifted q=0.3,焦虑,132,159,,沮丧 羞愧 气愤 惊讶 诧异 惋惜 难过 惭愧,凄凉 心疼 失望 钦佩 害臊 振奋 惭愧 妒忌,赞叹 不已 介意 自卑 惊叹 怨气,不以为然 不安 不屑 不已 不服气 不满 不耐烦 不解 丢脸 为难 介意 伤心 伤感 佩服 依依不舍 兴奋 冤枉 凄凉 别扭 半信半疑 压抑 厌倦 厌烦 反感 发怒 叹气 吃惊 同情 后悔 哭泣 哭笑不得 喜悦 困惑 垂头丧气 埋怨 大吃一惊 大惊小怪 失望 失落 头疼 奇怪 好奇 好笑 妒忌 委屈 嫉妒 嫌弃 孤单 孤独 害怕 害羞 害臊 寂寞 尴尬 庆幸 得意 心慌 心疼 心酸 忧愁 忧虑 忧郁 怀疑 怜惜 怨恨 怨气 恋恋不舍 恍然大悟 恐惧 恐慌 恨 恼羞成怒 悔恨 悲伤 悲哀 悲痛 惊叹 惊奇 惊慌 惊慌失措 惊讶 惊诧 惋惜 惭愧 愁眉苦脸 感到 感动 感叹 感慨 感激 愤怒 慌 慌乱 慌张 扫兴 抱歉 担心 担忧 挂念 振奋 敬佩 无可奈何 无奈 欣喜 欣慰 歉意 气愤 气馁 沮丧 泄气 消沉 漠然 激动 灰心 烦躁 烦闷 焦急 焦虑 焦躁 犹豫 狼狈 生气 畏惧 畏缩 留恋 疑惑 疲倦 疲惫 痛心 痛苦 着急 窘迫 纳闷儿 绝望 羞愧 羡慕 胆怯 自卑 自豪 自责 苦恼 茫然 讨厌 诧异 责备 责怪 赞叹 轻蔑 过意不去 迷惑不解 遗憾 钦佩 难为情 难受 难堪 难过 震惊 骄傲 高兴
control t=0.7 unshifted q=0.3,政策,526,22,,制定 制订 实施 颁布 出台 施行 实行 推行,规定 采取 草案 落实 拟定 修订 实施 颁布,拟定 草案 起草 政策 条例 采取,修订 出台 制定 制订 实施 实行 执行 拟定 推行 措施 政策 施行 条例 法规 草案 落实 规定 试行 贯彻 起草 采取 颁布
control t=0.7 unshifted q=0.3,合同,613,17,,协议 签订 签署 协定 协议书 订立 合同 条约,达成 协议 约定 生效 契约 签署 签 协议书,公约 签字 协议 签约 生效 协议书,公约 协定 协议 协议书 合同 契约 条款 条约 生效 签 签字 签约 签署 签订 约定 订立 达成
control t=0.7 unshifted q=0.3,银行,16,19,,银行卡 存折 取款 信用卡 挂失 汇款 支票 取款机,支票 磁卡 汇款 存折 卡 活期 信用卡 储蓄,存款 外币 密码 卡 银行 卡片,一卡通 信用卡 储蓄 卡 卡片 取款 取款机 外币 存折 存款 密码 挂失 支票 汇款 活期 磁卡 账户 银行 银行卡
control t=0.7 unshifted q=0.3,软件,637,11,,服务器 软件 浏览器 杀毒 硬件 计算机 防火墙 内存,内存 计算机 服务器 芯片 黑客 杀毒 病毒 软件,黑客 病毒 防火墙 硬件 计算机 芯片,内存 服务器 杀毒 浏览器 病毒 硬件 芯片 计算机 软件 防火墙 黑客
control t=0.7 unshifted q=0.3,感冒,174,65,,急性 病症 炎症 腹泻 症状 慢性 疾病 发炎,疼痛 咳嗽 病情 患有 肿瘤 霍乱 精神病 癌,确诊 痛 昏迷 咳 职业病 痒,不适 中毒 休克 传染 传染病 出汗 出血 创伤 副作用 发作 发炎 发烧 发热 发病 后遗症 呕吐 咳 咳嗽 复发 失明 失眠 头晕 心脏病 急性 患 患有 患病 感冒 感染 慢性 抑郁 抑郁症 昏迷 晕车 治愈 流感 炎症 生病 疼痛 疾病 病 病情 病症 症状 痒 痛 痴呆 癌 癌症 确诊 精神病 糖尿病 职业病 肥胖 肿瘤 腹泻 艾滋病 血压 血栓 衰竭 过敏 近视 霍乱 骨折 高血压
control t=0.7 unshifted q=0.3,火车,104,39,,列车 火车 车票 卧铺 车站 慢车 乘客 公共汽车,线路 地铁 退票 车票 火车 机票 公共汽车 搭乘,线路 登机 乘坐 搭乘 长途 行李,上车 下车 乘坐 乘客 乘车 公共汽车 列车 卧铺 售票 地铁 地铁站 大巴 客运 巴士 快车 慢车 搭乘 旅客 晚点 机场 机票 火车 特快 电车 登机 票价 站台 线路 缆车 航班 行李 趟 车厢 车票 车站 退票 铁路 长途 高铁
control t=0.7 unshifted q=0.3,妈妈,26,134,老师,姑姑 舅舅 姐姐 妹妹 嫂子 爸爸 哥哥 奶奶,父女 她 老婆 家里 哥哥 夫妇 姐妹 老乡,亲属 老王 朋友 男人 别人 贪玩儿,一家人 丈夫 两口子 丫头 主人 乡下 乡亲 亲人 亲友 亲属 亲戚 亲朋好友 亲生 仇人 他 伯伯 伯母 伯父 你 保姆 俩 儿女 儿子 全家 别人 叔叔 同事 同伴 同学 哥 哥哥 外公 外婆 大人 大哥 大妈 大姐 大爷 太太 夫人 夫妇 女人 女儿 女婿 女孩儿 女朋友 奶奶 她 她们 妈 妈妈 妹 妹妹 妻子 姐 姐妹 姐姐 姑姑 姑娘 姥姥 姥爷 姨 娘 娶 媳妇 嫂子 子女 孙女 孙子 孩子 宝宝 家人 家里 寡妇 小伙子 小姐 小孩儿 小时候 小朋友 岳母 岳父 帅哥 师傅 师父 弟 弟弟 徒弟 恩人 情人 我 战友 新娘 新郎 朋友 母亲 母女 母子 爱人 父亲 父女 父子 父母 爷爷 爸 爸爸 爹 男人 男孩儿 男朋友 祖母 祖父 继母 继父 老乡 老人 老人家 老伴儿 老公 老大 老太太 老头儿 老婆 老家 老师 老板 老汉 老王 胖子 舅舅 贪玩儿 邻居 长辈 闺女 阿姨
control t=0.7 unshifted q=0.3,为什么,164,27,,怎么 怎样 什么 究竟 呢 哪里 哪儿 谁,请问 什么样 哪里 怎么 有没有 何处 谁 怎样,为何 为什么 不知 有没有 多久 请问,不知 为什么 为何 什么 什么样 何处 何时 到底 吗 呢 哪 哪些 哪儿 哪里 多久 多少 如何 干什么 怎么 怎么办 怎么样 怎样 是否 有没有 究竟 请问 谁
control t=0.7 unshifted q=0.3,公斤,373,20,,公斤 千克 斤 公顷 平方米 吨 亩 磅,桶 尺 公斤 千克 毫升 吨 毫米 平方,立方米 平方 元 桶 毫米 克,亩 元 克 公斤 公里 公顷 千克 厘米 吨 寸 尺 平方 平方米 斤 桶 毫升 毫米 磅 立方米 米
control t=0.7 unshifted q=0.3,花,1212,13,,荷花 菊花 牡丹 梅花 玫瑰 桃花 花瓣 花卉,花卉 桃花 花瓶 梅花 荷花 花 玫瑰 菊花,花卉 花瓶 芦花 花瓣 鲜花 花,桃花 梅花 牡丹 玫瑰 百合 芦花 花 花卉 花瓣 花瓶 荷花 菊花 鲜花
control t=0.7 unshifted q=0.3,行,1323,1,,行,行,行,行
