token,community,best_cluster_match_fraction
〇,0,1.0
一,1,1.0
一一,2,0.75
一下子,3,0.5
一不小心,4,0.75
一举,5,1.0
一举一动,6,1.0
一事无成,7,1.0
一些,8,0.25
一代,9,1.0
一会儿,10,0.75
一体,11,1.0
一共,12,1.0
一再,13,1.0
一切,14,0.0
一刹那,15,0.75
一动不动,16,0.5
一半,17,1.0
一卡通,18,1.0
一口气,5,0.75
一句话,19,0.75
一同,20,1.0
一向,21,0.75
一味,22,1.0
一块儿,20,1.0
一塌糊涂,23,1.0
一声不吭,16,0.5
一大早,24,1.0
一天到晚,25,1.0
一头,26,1.0
一如既往,27,0.25
一定,28,0.75
一家人,29,1.0
一帆风顺,30,0.25
一带,31,1.0
一干二净,32,1.0
一年到头,25,1.0
一应俱全,33,1.0
一度,13,0.5
一律,2,0.5
一心,34,0.5
一心一意,34,0.25
一成不变,35,1.0
一手,36,0.0
一技之长,37,0.25
一把手,38,1.0
一揽子,39,1.0
一方面,40,0.75
一旁,41,1.0
一无所有,7,1.0
一无所知,7,1.0
一旦,42,0.25
一早,24,1.0
一时,43,1.0
一晃,44,0.75
一样,45,0.5
一概,2,1.0
一概而论,46,1.0
一模一样,45,1.0
一次性,47,1.0
一毛不拔,48,1.0
一流,49,0.5
一点儿,50,1.0
一生,51,0.75
一番,52,1.0
一目了然,53,1.0
一直,54,0.0
一眼,55,0.25
一瞬间,15,0.75
一筹莫展,56,0.75
一系列,14,1.0
一线,57,1.0
一经,2,0.75
一致,58,1.0
一般,8,1.0
一般来说,59,1.0
一行,60,0.5
一言一行,6,1.0
一言不发,16,0.5
一贯,21,0.75
一起,20,1.0
一路,30,0.75
一路上,61,1.0
一路平安,30,1.0
一路顺风,30,1.0
一身,11,1.0
一辈子,51,1.0
一边,41,1.0
一连,62,1.0
一连串,14,1.0
一道,63,1.0
一部分,8,0.25
一锅粥,64,0.75
一长一短,65,0.75
一阵,66,0.5
一面,40,0.75
一鼓作气,5,1.0
一齐,20,0.0
丁,67,1.0
七,1,1.0
七嘴八舌,16,1.0
万,68,1.0
万一,4,0.0
万万,69,1.0
万分,70,1.0
万古长青,71,1.0
万无一失,72,1.0
万能,73,1.0
丈夫,29,1.0
三,1,1.0
三明治,74,1.0
三番五次,13,1.0
三维,75,1.0
三角,76,1.0
上,77,1.0
上下,78,1.0
上个月,79,1.0
上任,80,1.0
上升,81,1.0
上午,24,1.0
上去,82,1.0
上台,83,0.75
上司,84,1.0
上周,79,1.0
上场,83,0.75
上头,41,1.0
上学,85,1.0
上岗,86,0.5
上市,87,1.0
上帝,88,0.5
上当,89,0.5
上报,90,1.0
上方,91,0.75
上旬,79,1.0
上映,92,0.75
上期,93,1.0
上来,82,1.0
上楼,82,1.0
上次,94,0.75
上流,95,1.0
上涨,81,1.0
上游,96,0.75
上演,97,1.0
上火,98,0.75
上班,24,0.5
上班族,99,1.0
上瘾,100,1.0
上空,101,0.25
上级,84,1.0
上网,102,1.0
上衣,103,1.0
上诉,104,1.0
上课,105,0.5
上调,81,0.75
上车,106,0.75
上边,41,1.0
上述,107,0.25
上门,108,1.0
上限,109,0.25
上面,41,1.0
下,110,1.0
下一代,9,1.0
下个月,79,1.0
下乡,111,0.5
下令,112,0.75
下决心,112,0.75
下功夫,113,1.0
下午,24,1.0
下去,82,1.0
下台,114,0.75
下场,83,0.25
下坠,115,0.25
下属,84,1.0
下山,82,1.0
下岗,86,0.75
