token,community,best_cluster_match_fraction
专栏,181,0.75
专注,182,1.0
专用,183,0.5
专程,184,1.0
专职,175,0.0
专著,181,0.25
专辑,185,1.0
专长,33,0.5
专门,175,0.0
专题,186,0.0
且,187,1.0
世代,188,1.0
世故,189,0.75
世界,190,1.0
世界杯,191,1.0
世界级,44,1.0
世纪,192,1.0
世袭,188,1.0
丘陵,193,1.0
丙,194,1.0
业,195,1.0
业余,196,1.0
业务,197,1.0
业绩,198,1.0
丛林,193,1.0
东,199,1.0
东北,199,1.0
东南,199,1.0
东奔西走,23,0.5
东张西望,10,1.0
东方,200,0.5
东西,201,0.25
东边,37,1.0
东道主,191,0.5
东部,199,1.0
丝,202,0.75
丝毫,203,0.25
丝绸,204,0.25
丢,205,0.0
丢人,131,1.0
丢失,206,0.25
丢弃,206,0.75
丢掉,206,1.0
丢脸,128,1.0
两,1,1.0
两侧,37,1.0
两口子,26,1.0
两岸,207,1.0
两手,208,1.0
两栖,209,1.0
两边,37,1.0
严,210,0.75
严厉,211,1.0
严密,212,0.75
严峻,213,1.0
严格,212,0.5
严禁,214,1.0
严肃,189,0.25
严谨,212,0.75
严重,215,0.5
丧失,206,0.75
丧生,148,1.0
个,216,0.25
个人,217,0.0
个体,218,1.0
个儿,219,1.0
个别,57,1.0
个头儿,219,1.0
个子,219,1.0
个性,189,0.25
个案,220,1.0
丫头,26,1.0
中,221,1.0
中介,222,1.0
中医,223,0.75
中午,22,1.0
中华,200,1.0
中华民族,200,1.0
中国,190,1.0
中国画,224,1.0
中型,225,1.0
中外,226,1.0
中央,227,1.0
中奖,228,0.25
中学,81,1.0
中学生,229,0.75
中小学,81,1.0
中年,230,0.5
中庸,231,1.0
中心,232,1.0
中性,233,0.5
中文,234,0.75
中断,235,1.0
中旬,74,1.0
中期,236,1.0
中止,235,1.0
中毒,223,0.25
中秋节,237,1.0
中立,238,0.75
中等,239,0.75
中级,239,1.0
中药,240,0.75
中途,54,0.75
中部,199,1.0
中间,37,1.0
中餐,69,1.0
丰厚,241,0.25
丰富,242,0.0
丰富多彩,243,0.0
丰收,244,1.0
丰满,243,0.75
丰盛,245,0.75
丰硕,246,0.5
串,202,1.0
串门,90,1.0
临,247,1.0
临床,223,1.0
临时,248,0.75
临街,249,0.75
临近,250,1.0
丸,240,1.0
为,251,0.5
为主,11,1.0
为了,135,0.75
为人,189,1.0
为什么,159,1.0
为何,159,1.0
为期,252,1.0
为止,253,0.75
为此,53,0.75
为难,128,1.0
主,254,1.0
主义,255,1.0
主人,26,1.0
主人公,254,0.75
主任,256,1.0
主体,257,0.5
主力,258,1.0
主办,259,0.5
主动,260,0.5
主妇,261,0.5
主宰,262,0.75
主导,262,0.25
主席,256,1.0
主张,263,0.0
主意,264,0.75
主持,265,0.75
主持人,266,0.25
主权,238,0.25
主流,258,0.25
主演,88,1.0
