token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
仇人,195,43,0.311276685804827,31,-0.05857351157703389,-0.08504650615099557,0.9999999999869118,81,8.008881077502263e-12,0.9999999999789029,6.665421171376609e-11,7-9,chóurén,foe; one's personal enemy,Translation,帮忙 | 恳求 | 安慰 | 哀求 | 照顾 | 收留 | 救 | 劝 | 好心 | 嘱咐 | 恩人 | 求助,0.25
祖籍,195,43,0.3095260370123912,105,0.026454560548958894,0.03689985776888879,0.9999999997778986,112,2.1737486736754534e-10,0.9999999995605237,9.78060267029175e-10,7-9,zǔjí,ancestral hometown; original domicile (and civil registration),Translation,俗语 | 来历 | 传说 | 习俗 | 由来 | 地名 | 起源 | 称呼 | 涵义 | 含义 | 渊源 | 古代,0.75
皇帝,195,43,0.30729635652121906,31,-0.021751107259763314,-0.03140030728079988,0.9998326371221103,31,0.0001672970925697432,0.9996653400295406,0.0003063710730751491,6,huángdì,emperor,Translation,姑姑 | 舅舅 | 姐姐 | 妹妹 | 奶奶 | 爸爸 | 嫂子 | 母亲 | 哥哥 | 妈妈 | 姥姥 | 爸,0.0
夫人,195,43,0.3026757008858248,31,-0.06959871631542869,-0.09980824761712938,0.9998014376969235,31,0.00019728961599993155,0.9996041480809236,0.00035839028906744586,4,fūrén,lady; madam; Mrs.,Translation,姑姑 | 舅舅 | 姐姐 | 妹妹 | 奶奶 | 爸爸 | 嫂子 | 母亲 | 哥哥 | 妈妈 | 姥姥 | 爸,0.25
世代,195,43,0.29990997149314924,39,0.05333366418166541,0.07078840856643309,0.9999999999992184,39,7.361099658268381e-13,0.9999999999984823,4.33118481694635e-12,7-9,shìdài,for many generations; generation; era; age,Translation,富人 | 阶层 | 贵族 | 封建 | 官僚 | 穷人 | 文人 | 普通人 | 商人 | 富豪 | 儒家 | 皇室,0.75
终生,195,43,0.293698695836784,105,0.03502692808776697,0.04724887919270328,1.0,48,2.8565981565858385e-16,0.9999999999999997,2.0112016610528754e-15,7-9,zhōngshēng,throughout one's life; lifetime; lifelong,Translation,宇宙 | 虚幻 | 上帝 | 永恒 | 人间 | 灵魂 | 生命 | 黑暗 | 人类 | 幻想 | 真理 | 心灵,0.5
逝世,195,43,0.29310375847121745,193,-0.03939966058637684,-0.055736129677487554,0.9999999978837906,105,2.116205717231026e-9,0.9999999957675848,8.377106436081528e-9,7-9,shìshì,to pass away; to die,Translation,结婚 | 离婚 | 抚养 | 生病 | 患病 | 子女 | 赡养 | 成家 | 娶 | 收养 | 怀孕 | 去世,0.75
继承,195,43,0.291055079651007,92,-0.009919119455445491,-0.013991382363756343,0.9999999999675424,92,3.246420074932578e-11,0.9999999999350782,1.541053626153266e-10,5,jìchéng,to inherit; to succeed to (the throne etc); to carry on (a tradition etc),Translation,珍视 | 弘扬 | 忠于 | 热爱 | 铭记 | 忠诚 | 尊重 | 珍惜 | 爱护 | 发扬 | 忠贞 | 爱惜,0.5
王后,195,43,0.28904219586906776,31,-0.03887318939151874,-0.05467721032901093,0.9999928091685508,31,6.898617150671466e-6,0.9999859105514002,0.00001767650442258637,6,wánghòu,queen,Translation,姑姑 | 舅舅 | 姐姐 | 妹妹 | 奶奶 | 爸爸 | 嫂子 | 母亲 | 哥哥 | 妈妈 | 姥姥 | 爸,0.0
早年,195,43,0.2884434256291172,31,0.03729321795732793,0.04980066541967172,0.9999999999512568,132,4.80098043699793e-11,0.999999999903247,2.284389035313773e-10,7-9,zǎonián,many years ago; in the past; in one's early years,Translation,月初 | 前不久 | 上个月 | 此前 | 前天 | 月底 | 年初 | 昨天 | 今年 | 近期 | 下旬 | 此后,0.75
圣贤,195,43,0.28751537131942184,115,0.0004559172731026795,0.0006394884898751432,0.999999994155516,39,3.035077641474815e-9,0.9999999911204384,2.2843913783382747e-8,7-9,shèngxián,a sage; wise and holy man; virtuous ruler; Buddhist lama; wine,Translation,富人 | 阶层 | 贵族 | 封建 | 官僚 | 穷人 | 文人 | 普通人 | 商人 | 富豪 | 儒家 | 皇室,0.0
从小,195,43,0.28693737182520396,31,-0.04498927272350284,-0.06309301728329314,0.9999999994002735,31,5.984598775399531e-10,0.9999999988018137,2.518756944097496e-9,2,cóngxiǎo,from childhood; from a young age,Translation,姑姑 | 舅舅 | 姐姐 | 妹妹 | 奶奶 | 爸爸 | 嫂子 | 母亲 | 哥哥 | 妈妈 | 姥姥 | 爸,0.5
