community,size,mean_pair_cosine,mean_cosine_silhouette,negative_silhouette_fraction,representatives,boundary_words,deterministic_sample,all_members,soft_mass,mean_max_membership,mean_normalized_membership_entropy,highest_membership_words,strongest_members_outside_hard_cluster,mean_best_match_jaccard,min_best_match_jaccard,fraction_members_in_best_match_every_repeat
0,65,0.3300214963070597,0.048707116530055,0.26153846153846155,电脑 | 显示器 | 硬盘 | 打印机 | 屏幕 | 录音机 | 摄像机 | 音响 | 鼠标 | 相机 | 手机 | 磁盘,洗衣机 | 灯泡 | 物体 | 闹钟 | 电视 | 图形 | 开机 | 防盗,物体 | 屏幕 | 磁带 | 光盘 | 笔记本 | 显示器 | 耳机 | 硬盘 | 摄像 | 电视 | 服务器 | 音响,电脑 | 显示器 | 硬盘 | 打印机 | 屏幕 | 录音机 | 摄像机 | 音响 | 鼠标 | 相机 | 手机 | 磁盘 | 耳机 | 电视机 | 液晶 | 按键 | 充电器 | 笔记本 | 磁带 | 键盘 | 收音机 | 图像 | 电视 | 摄像 | 光盘 | 遥控 | 游戏机 | 浏览器 | 无线 | 语音 | 多媒体 | 光碟 | 闹钟 | 内存 | 灯泡 | 胶片 | 芯片 | 计算机 | 影像 | 彩电 | 软件 | 天线 | 服务器 | 传输 | 机器 | 导航 | 数码 | 磁卡 | 镜头 | 洗衣机 | 打印 | 图形 | 方向盘 | 充电 | 望远镜 | 键 | 防盗 | 日历 | 计时 | 物体 | 开机 | 移动 | 指南针 | 折叠 | 手动,65.05425710097919,0.9999431489816288,0.00009263644882494102,磁带:1.000000 | 录音机:1.000000 | 电视机:1.000000 | 电脑:1.000000 | 摄像机:1.000000 | 指南针:1.000000 | 收音机:1.000000 | 折叠:1.000000 | 图像:1.000000 | 计时:1.000000 | 光碟:1.000000 | 影像:1.000000,激光:0.014322,0.3984330286355227,0.37209302325581395,0.2923076923076923
1,55,0.3852190309979254,0.03803718588615623,0.16363636363636364,小声 | 摇头 | 扭头 | 大声 | 插嘴 | 招呼 | 点头 | 坐下 | 走开 | 告辞 | 打岔 | 嚷,跟前 | 一旁 | 听见 | 上楼 | 愣 | 见外 | 说话 | 伸手,道 | 指着 | 嚷 | 让座 | 打招呼 | 打岔 | 笑 | 听 | 众人 | 打断 | 见外 | 坐下,小声 | 摇头 | 扭头 | 大声 | 插嘴 | 招呼 | 点头 | 坐下 | 走开 | 告辞 | 打岔 | 嚷 | 吩咐 | 示意 | 笑 | 说道 | 客气 | 招手 | 瞪 | 打招呼 | 说话 | 反问 | 听见 | 愣 | 请坐 | 转身 | 会意 | 一眼 | 伸手 | 一旁 | 指着 | 递给 | 喊 | 跟前 | 开口 | 推辞 | 停下 | 鞠躬 | 听 | 脱口而出 | 七嘴八舌 | 敲门 | 当着 | 上楼 | 举手 | 过头 | 打断 | 异口同声 | 道 | 发火 | 众人 | 让座 | 在场 | 见外 | 请进,54.99904441877162,0.9999746086805235,0.00004361242237342889,打断:1.000000 | 举手:1.000000 | 告辞:1.000000 | 招呼:1.000000 | 让座:1.000000 | 招手:1.000000 | 示意:1.000000 | 递给:1.000000 | 大声:1.000000 | 脱口而出:1.000000 | 会意:1.000000 | 异口同声:1.000000,,0.26075036075036073,0.20952380952380953,0.03636363636363636
2,52,0.3414780506849147,0.05739324710031425,0.15384615384615385,收据 | 便条 | 信封 | 证件 | 支票 | 卡片 | 身份证 | 信件 | 请柬 | 存折 | 欠条 | 表格,去向 | 物品 | 贺卡 | 简历 | 记号 | 本子 | 填写 | 字迹,凭证 | 银行卡 | 请帖 | 字迹 | 清单 | 表格 | 锦旗 | 号码 | 便条 | 遗嘱 | 填写 | 文件,收据 | 便条 | 信封 | 证件 | 支票 | 卡片 | 身份证 | 信件 | 请柬 | 存折 | 欠条 | 表格 | 相片 | 贺卡 | 印章 | 凭证 | 请帖 | 发票 | 借条 | 账单 | 名片 | 签名 | 照片 | 公函 | 本子 | 告示 | 字迹 | 填写 | 遗嘱 | 银行卡 | 挂失 | 文件 | 电报 | 启事 | 证书 | 号码 | 住址 | 日记 | 张贴 | 复印 | 档案 | 锦旗 | 海报 | 简历 | 姓名 | 密码 | 标语 | 物品 | 物证 | 记号 | 清单 | 去向,52.008910749546786,0.999904560391557,0.00013104941808474166,告示:1.000000 | 字迹:1.000000 | 张贴:1.000000 | 欠条:1.000000 | 请帖:1.000000 | 住址:1.000000 | 姓名:1.000000 | 收据:1.000000 | 锦旗:1.000000 | 贺卡:1.000000 | 电报:1.000000 | 便条:1.000000,,0.25515019015736373,0.18823529411764706,0.0
3,24,0.40509155356132753,0.12360361286703868,0.041666666666666664,交谈 | 会面 | 交流 | 沟通 | 交往 | 对话 | 见面 | 会谈 | 会晤 | 互访 | 谈话 | 握手,对弈 | 座谈 | 会谈 | 交际 | 握手 | 见面 | 交换 | 会晤,交往 | 座谈 | 握手 | 会面 | 接触 | 互访 | 联络 | 通话 | 交谈 | 会谈 | 互动 | 面对面,交谈 | 会面 | 交流 | 沟通 | 交往 | 对话 | 见面 | 会谈 | 会晤 | 互访 | 谈话 | 握手 | 接触 | 通话 | 往来 | 面对面 | 座谈 | 联络 | 来往 | 互动 | 联系 | 交际 | 交换 | 对弈,24.000008930308322,0.9999999995924522,1.5165790163671825e-9,互动:1.000000 | 交往:1.000000 | 交换:1.000000 | 交流:1.000000 | 交谈:1.000000 | 交际:1.000000 | 会晤:1.000000 | 会面:1.000000 | 对弈:1.000000 | 对话:1.000000 | 往来:1.000000 | 接触:1.000000,,0.2878471719257452,0.15384615384615385,0.4166666666666667
4,84,0.28571390181630046,0.003072045623584594,0.4880952380952381,政党 | 议会 | 宪法 | 政权 | 国会 | 议员 | 人权 | 民主 | 内阁 | 宗教 | 军队 | 总统,国旗 | 哲学 | 人道 | 刑法 | 法庭 | 官员 | 权威 | 战争,军舰 | 民主 | 核武器 | 舆论 | 民族 | 条约 | 穆斯林 | 联盟 | 工会 | 人民 | 空军 | 总理,政党 | 议会 | 宪法 | 政权 | 国会 | 议员 | 人权 | 民主 | 内阁 | 宗教 | 军队 | 总统 | 外交 | 军事 | 首脑 | 公民 | 元首 | 政治 | 基督教 | 联合国 | 领土 | 邻国 | 外交官 | 首相 | 选民 | 大选 | 条约 | 同盟 | 纲领 | 穆斯林 | 盟友 | 派别 | 国王 | 领袖 | 战争 | 海军 | 联邦 | 伊斯兰教 | 领事 | 天主教 | 主义 | 司法 | 主权 | 工会 | 总理 | 国民 | 陆军 | 人民 | 官吏 | 儒学 | 工商界 | 党 | 学者 | 领事馆 | 军舰 | 帝国 | 民族 | 审判 | 种族 | 刑法 | 舆论 | 大使馆 | 空军 | 哲学 | 核武器 | 文艺界 | 人道 | 宣言 | 官员 | 民意 | 国徽 | 王国 | 冷战 | 社论 | 法庭 | 移民 | 国旗 | 首都 | 团体 | 革命 | 科学家 | 联盟 | 权威 | 世纪,84.38037647897171,0.9996268598383837,0.0005088873043411911,国旗:1.000000 | 国徽:1.000000 | 邻国:1.000000 | 人权:1.000000 | 军事:1.000000 | 同盟:1.000000 | 议会:1.000000 | 刑法:1.000000 | 政党:1.000000 | 军队:1.000000 | 人道:1.000000 | 首脑:1.000000,国家:0.146062 | 社会主义:0.093531 | 佛教:0.054032 | 法律:0.027179 | 法官:0.022790 | 帝国主义:0.013161,0.31680673419896943,0.25663716814159293,0.11904761904761904
5,174,0.35393921707119264,0.048912966364101536,0.16666666666666666,毕竟 | 就算 | 也许 | 何况 | 难道 | 可是 | 当然 | 但是 | 其实 | 要是 | 反正 | 只不过,唉 | 好说 | 我 | 没什么 | 没 | 这么 | 不算 | 晓得,当然 | 无论如何 | 所谓 | 恐怕 | 说实话 | 本来 | 反正 | 看上去 | 没准儿 | 幸亏 | 以为 | 纵然,毕竟 | 就算 | 也许 | 何况 | 难道 | 可是 | 当然 | 但是 | 其实 | 要是 | 反正 | 只不过 | 虽说 | 好像 | 别说 | 要不然 | 说不定 | 不然 | 况且 | 说实话 | 好歹 | 说真的 | 不过 | 真的 | 恐怕 | 纵然 | 既然 | 如果 | 是不是 | 哪怕 | 的确 | 看样子 | 确实 | 倒是 | 要不 | 按说 | 虽然 | 没准儿 | 明明 | 果然 | 唉 | 或许 | 如果说 | 觉得 | 再说 | 因为 | 所以 | 按理说 | 即使 | 幸好 | 即便 | 偏偏 | 显然 | 而且 | 但 | 假如 | 那么 | 实际上 | 要不是 | 起码 | 似乎 | 莫非 | 也 | 然而 | 说白了 | 那 | 终究 | 可惜 | 好在 | 怪不得 | 果真 | 幸亏 | 只是 | 总之 | 据说 | 居然 | 就是说 | 难怪 | 不如说 | 本来 | 说到底 | 当真 | 不管 | 简直 | 倘若 | 知道 | 肯定 | 大概 | 顶多 | 假使 | 不见得 | 说不上 | 可不是 | 为什么 | 但愿 | 没想到 | 竟然 | 实在 | 只要 | 有时候 | 还是 | 我 | 怎么 | 敢情 | 很难说 | 比如说 | 至于 | 看来 | 都 | 除非 | 未必 | 譬如说 | 以为 | 不用说 | 事实上 | 就是 | 晓得 | 无非 | 总而言之 | 好比 | 不一定 | 也就是说 | 无论如何 | 总的来说 | 应该 | 想不到 | 估计 | 真 | 究竟 | 不知 | 看起来 | 比如 | 才 | 尽管 | 算是 | 这 | 可能 | 至少 | 看得出 | 难说 | 譬如 | 比起 | 请问 | 总算 | 仅仅 | 这么 | 换言之 | 没 | 好说 | 看上去 | 看似 | 还 | 有没有 | 到底 | 这就是说 | 根本 | 却是 | 没什么 | 因此 | 是 | 无论 | 不算 | 比方 | 万一 | 之所以 | 并非 | 俗话说 | 没有 | 为何 | 不论 | 是否 | 所谓 | 由此看来 | 例如,174.6587486440481,0.9960337807129965,0.003179229169101155,幸好:1.000000 | 果然:1.000000 | 莫非:1.000000 | 果真:1.000000 | 好歹:1.000000 | 好在:1.000000 | 居然:1.000000 | 按说:1.000000 | 但愿:1.000000 | 怪不得:1.000000 | 很难说:1.000000 | 看样子:1.000000,什么:0.190428 | 明白:0.165701 | 的:0.125208 | 相比之下:0.079032 | 由此可见:0.071720 | 没错:0.058074 | 而是:0.046834 | 还有:0.046826,0.5353466056855887,0.3601694915254237,0.3448275862068966
6,41,0.31610631973185055,0.037551972659961776,0.24390243902439024,预订 | 抽奖 | 折扣 | 优惠 | 打折 | 特价 | 话费 | 促销 | 奖品 | 门票 | 预约 | 付款,自助 | 套餐 | 开业 | 顾客 | 一卡通 | 开张 | 票 | 小费,抽奖 | 会员 | 中奖 | 福利 | 专柜 | 顾客 | 封顶 | 预约 | 优惠 | 自助 | 免费 | 券,预订 | 抽奖 | 折扣 | 优惠 | 打折 | 特价 | 话费 | 促销 | 奖品 | 门票 | 预约 | 付款 | 中奖 | 预售 | 订购 | 套餐 | 免费 | 红包 | 兑换 | 赠送 | 领取 | 自助 | 预定 | 券 | 月票 | 专柜 | 信用卡 | 购买 | 福利 | 会员 | 商城 | 小费 | 降价 | 顾客 | 付费 | 封顶 | 一卡通 | 彩票 | 开业 | 票 | 开张,41.00409330871163,0.9999832557858932,0.000028010559081016882,中奖:1.000000 | 开张:1.000000 | 预定:1.000000 | 封顶:1.000000 | 订购:1.000000 | 促销:1.000000 | 特价:1.000000 | 打折:1.000000 | 预订:1.000000 | 免费:1.000000 | 自助:1.000000 | 套餐:1.000000,,0.40978915662650606,0.2891566265060241,0.24390243902439024
7,65,0.3544104382908754,0.04219960507140095,0.27692307692307694,饭店 | 旅馆 | 饭馆 | 餐厅 | 餐馆 | 宾馆 | 商场 | 酒楼 | 旅店 | 酒吧 | 酒店 | 公寓,餐桌 | 柜台 | 景区 | 屋 | 电梯 | 餐厅 | 夜市 | 校园,临街 | 夜市 | 商场 | 食堂 | 出租 | 床位 | 停车场 | 取款机 | 图书馆 | 酒吧 | 住宅 | 车位,饭店 | 旅馆 | 饭馆 | 餐厅 | 餐馆 | 宾馆 | 商场 | 酒楼 | 旅店 | 酒吧 | 酒店 | 公寓 | 客房 | 临街 | 书店 | 停车场 | 舞厅 | 商店 | 超市 | 电影院 | 写字楼 | 网吧 | 小区 | 菜市场 | 报亭 | 药店 | 夜总会 | 食堂 | 别墅 | 店 | 连锁店 | 养老院 | 便利店 | 地铁站 | 加油站 | 停车位 | 住宅 | 车位 | 专卖店 | 五星级 | 屋 | 出租 | 物业 | 图书馆 | 夜市 | 四合院 | 住处 | 电梯 | 住户 | 房屋 | 网点 | 柜台 | 百货 | 取款机 | 床位 | 装修 | 景区 | 新房 | 住房 | 办公 | 居住 | 前台 | 监狱 | 餐桌 | 校园,65.00500295517924,0.9997069643085834,0.000346401798926865,住处:1.000000 | 夜总会:1.000000 | 酒楼:1.000000 | 饭馆:1.000000 | 书店:1.000000 | 酒吧:1.000000 | 网吧:1.000000 | 商店:1.000000 | 办公:1.000000 | 客房:1.000000 | 旅馆:1.000000 | 商场:1.000000,连锁:0.018279,0.46152313208234264,0.3626373626373626,0.3076923076923077
8,46,0.4734249566199296,0.19388908891099613,0.0,演奏 | 舞蹈 | 演唱 | 独唱 | 伴奏 | 乐曲 | 合唱 | 歌剧 | 歌唱 | 歌曲 | 民歌 | 歌舞,喜剧 | 朗诵 | 诗歌 | 唱歌 | 戏 | 演戏 | 话剧 | 国歌,民歌 | 戏 | 演唱 | 表演 | 独唱 | 诗歌 | 戏曲 | 演戏 | 话剧 | 小曲 | 京剧 | 摇滚,演奏 | 舞蹈 | 演唱 | 独唱 | 伴奏 | 乐曲 | 合唱 | 歌剧 | 歌唱 | 歌曲 | 民歌 | 歌舞 | 音乐 | 交响乐 | 戏剧 | 旋律 | 朗诵 | 表演 | 唱 | 笛子 | 京剧 | 话剧 | 唱歌 | 乐队 | 吉他 | 戏曲 | 乐器 | 小提琴 | 诗歌 | 秧歌 | 歌声 | 歌 | 抒情 | 相声 | 钢琴 | 舞 | 摇滚 | 戏 | 小曲 | 喜剧 | 演戏 | 歌咏 | 剧团 | 小品 | 木偶 | 国歌,46.027172252320774,0.9999818711967166,0.000030155335771707617,乐器:1.000000 | 合唱:1.000000 | 唱:1.000000 | 小曲:1.000000 | 旋律:1.000000 | 朗诵:1.000000 | 歌咏:1.000000 | 歌唱:1.000000 | 歌声:1.000000 | 歌舞:1.000000 | 国歌:1.000000 | 钢琴:1.000000,杂技:0.021343,0.6444607582194172,0.2818181818181818,0.5869565217391305
9,26,0.3832709796855306,0.050463160085561884,0.23076923076923078,悦耳 | 动听 | 抑扬顿挫 | 风趣 | 好听 | 流利 | 委婉 | 清脆 | 洪亮 | 难听 | 幽默 | 滔滔不绝,工整 | 利索 | 爽快 | 幽默 | 精练 | 从容不迫 | 风趣 | 刺耳,滔滔不绝 | 抑扬顿挫 | 头头是道 | 出口成章 | 流利 | 洪亮 | 引经据典 | 绘声绘色 | 悦耳 | 通顺 | 好听 | 响亮,悦耳 | 动听 | 抑扬顿挫 | 风趣 | 好听 | 流利 | 委婉 | 清脆 | 洪亮 | 难听 | 幽默 | 滔滔不绝 | 绘声绘色 | 刺耳 | 响亮 | 工整 | 简短 | 精练 | 引经据典 | 爽快 | 出口成章 | 利索 | 通顺 | 从容不迫 | 通俗 | 头头是道,26.000043672595165,0.9999999999427707,2.307841938058856e-10,出口成章:1.000000 | 刺耳:1.000000 | 动听:1.000000 | 响亮:1.000000 | 委婉:1.000000 | 工整:1.000000 | 幽默:1.000000 | 引经据典:1.000000 | 悦耳:1.000000 | 抑扬顿挫:1.000000 | 洪亮:1.000000 | 流利:1.000000,,0.2103646460591463,0.0851063829787234,0.038461538461538464
