dimensions,whiten,clusters,regularization,repeats,mean_ari,min_ari,max_ari,mean_largest_share,mean_pair_cosine,mean_max_membership
20,False,10,1e-05,5,0.6053638227327989,0.4399756500066936,0.9559695411396728,0.14970738844184345,0.209381639581938,0.9160853738828123
20,False,50,0.001,5,0.4826330266467442,0.4259460777041092,0.5596978477129055,0.05160936356986101,0.2618656998690987,0.8849120133828752
20,True,50,0.1,5,0.5173457797443118,0.45488876123683486,0.5589664895359605,0.05552304316020483,0.2607123984231496,0.8958077401203041
50,False,200,0.001,5,0.35228168793359166,0.3367969505231595,0.3728854364806849,0.014850036576444771,0.33202735434941105,0.9991738008600345
50,False,200,0.01,5,0.5844093252290775,0.5244032639276016,0.6675385989153025,0.07724945135332846,0.30972314915770494,0.5871867705885976
50,False,400,0.001,5,0.29396241680729607,0.282328548556056,0.30399744648210725,0.007900512070226774,0.3626006840292755,0.9998147207341787
100,False,50,0.01,5,0.5101599080964164,0.47043709579372306,0.5532452469238254,0.05614484272128749,0.27010642559695186,0.8534488862662697
100,False,200,0.001,5,0.3308128427495618,0.3187671545435638,0.33722875114544515,0.013076079005120703,0.33906611761207067,0.9999791131019309
