community,size,mean_pair_cosine,mean_cosine_silhouette,negative_silhouette_fraction,representatives,boundary_words,deterministic_sample,all_members,mean_best_match_jaccard,min_best_match_jaccard,fraction_members_in_best_match_every_repeat
223,71,0.4212264598345291,-0.028008915207201692,0.5492957746478874,治疗 患者 病人 急诊 疾病 确诊 病症 肿瘤 急性 住院 癌症 手术,病床 感染 药物 流感 会诊 中毒 传染病 挂号,临床 看病 疗效 传染病 疗法 骨折 流感 挂号 肿瘤 糖尿病 病 癌,治疗 患者 病人 急诊 疾病 确诊 病症 肿瘤 急性 住院 癌症 手术 糖尿病 病 病情 就诊 外科 慢性 门诊 内科 心脏病 患病 儿科 诊断 高血压 发病 医生 复发 治愈 救治 抑郁症 精神病 临床 医院 打针 传染病 西医 针灸 出院 治病 患 康复 看病 求医 出血 患有 疗效 中医 骨折 癌 输液 艾滋病 急救 疗法 会诊 药物 生病 手术室 医学 流感 就医 职业病 麻醉 病床 挂号 护士 感染 中毒 失明 近视 医疗,0.6150311646060865,0.4567901234567901,0.352112676056338
185,69,0.4383031976192147,0.048375191908247815,0.34782608695652173,演唱 演奏 独唱 舞蹈 歌剧 合唱 歌曲 伴奏 乐曲 歌唱 歌舞 民歌,国歌 舞台 歌手 艺术 演员 口哨 诗 笛子,演戏 唱片 交响乐 唱歌 乐队 唱 奏 芭蕾 诗歌 朗诵 独唱 艺术,演唱 演奏 独唱 舞蹈 歌剧 合唱 歌曲 伴奏 乐曲 歌唱 歌舞 民歌 音乐 交响乐 戏剧 表演 演出 话剧 旋律 乐队 唱 朗诵 京剧 芭蕾 音乐会 歌手 歌词 唱歌 戏曲 杂技 笛子 吉他 歌声 秧歌 歌 排练 乐器 小提琴 诗歌 剧目 相声 摇滚 戏 抒情 舞 演员 钢琴 演唱会 创作 剧团 演戏 跳舞 艺术 小曲 曲 主题歌 歌咏 小品 马戏 口哨 专辑 舞台 木偶 唱片 剧院 国歌 诗 剧场 奏,0.9337343505477308,0.8888888888888888,0.927536231884058
243,61,0.42290618680476777,-0.03274226592725962,0.6229508196721312,优美 艳丽 别致 精致 迷人 古朴 美妙 质朴 细腻 优雅 动人 美丽,壮丽 丰富多彩 浓郁 独特 精妙 韵味 柔软 工整,质朴 流畅 优雅 壮观 诱人 简洁 漂亮 优美 古朴 鲜明 酣畅 亮丽,优美 艳丽 别致 精致 迷人 古朴 美妙 质朴 细腻 优雅 动人 美丽 韵味 鲜艳 高雅 甜美 精美 简洁 秀丽 柔和 奇特 新颖 醇厚 浓郁 动听 华丽 晶莹 明媚 壮丽 悦耳 秀美 亮丽 清新 明亮 引人入胜 美观 漂亮 流畅 逼真 缤纷 动感 柔软 生动 朴素 工整 浪漫 新奇 独特 壮观 诱人 精妙 高贵 酣畅 丰满 富有 好看 色彩 鲜明 整洁 丰富多彩 芬芳,0.6564887152414657,0.5866666666666667,0.6229508196721312
37,60,0.43777231742481343,-0.009417929624168027,0.5166666666666667,旁边 后边 前边 外边 那边 那儿 里边 前面 后面 上边 下边 底下,周围 手里 上面 右边 左边 面前 地上 两侧,门口 旁边 周围 一边 城里 上头 跟前 旁 左边 北边 面前 那儿,旁边 后边 前边 外边 那边 那儿 里边 前面 后面 上边 下边 底下 左边 旁 外头 上面 外面 对面 右边 远处 这边 门口 那里 楼下 里面 里头 这儿 东边 西边 跟前 南边 楼上 一旁 北边 两边 下面 里 路边 后头 岸上 身边 中间 边 前头 隔壁 周围 台上 车上 一边 老远 地上 上头 挨着 前方 两侧 城里 刚才 面前 手里 身上,0.9629781420765027,0.9508196721311475,0.9166666666666666
81,60,0.42222803162841205,-0.028778163705357483,0.6333333333333333,高中 大学 学校 入学 初中 就读 研究生 转学 中学 小学 补习 毕业,硕士 民办 私立 幼儿园 班级 进修 学生 学习,补习 研究生 选修 班 课程 入学 开学 上学 幼儿园 年级 进修 升学,高中 大学 学校 入学 初中 就读 研究生 转学 中学 小学 补习 毕业 本科 学期 学生 学费 年级 学业 毕业生 念书 选修 学年 课程 升学 上学 退学 报考 进修 师范 学位 硕士 招生 开学 求学 教师 攻读 奖学金 学时 录取 学分 文凭 函授 读书 班级 学院 自学 补课 补考 师资 教学 读 中小学 校长 夜校 私立 留学 班 学习 幼儿园 民办,0.7293232824846356,0.31343283582089554,0.3
10,58,0.4183479623656156,-0.0047856540358636275,0.4482758620689655,扭头 摇头 小声 点头 坐下 咧嘴 走开 大声 一言不发 招呼 瞪 笑,递给 低头 神情 站住 过头 打岔 回头 嚷,插嘴 一声不吭 转身 停下 嚷 一言不发 一会儿 大模大样 前仰后合 自言自语 笑 瞪,扭头 摇头 小声 点头 坐下 咧嘴 走开 大声 一言不发 招呼 瞪 笑 插嘴 一声不吭 自言自语 一眼 打岔 眉开眼笑 神情 嬉笑 愣 眼色 示意 告辞 目不转睛 说道 打量 脸色 一动不动 微笑 说话 招手 转身 嚷 眨眼 低头 站住 会意 吩咐 交头接耳 反问 回头 伸手 皱 口气 指着 一会儿 打招呼 过头 东张西望 停下 递给 沉默 沉思 左顾右盼 前仰后合 挥 大模大样,0.6215369080398986,0.3225806451612903,0.3275862068965517
139,58,0.4277397503205051,0.01298867514504354,0.46551724137931033,愚蠢 卑鄙 丑恶 残忍 可恶 丑陋 凶残 虚伪 自私 可笑 狡猾 凶恶,顽固 蠢 悲惨 自以为是 本性 恶 黑暗 怪异,猖狂 粗暴 无能 无聊 无恶不作 虚伪 野蛮 不堪 软弱 放肆 古怪 卑鄙,愚蠢 卑鄙 丑恶 残忍 可恶 丑陋 凶残 虚伪 自私 可笑 狡猾 凶恶 邪恶 可悲 可耻 荒谬 无知 蠢 荒诞 贪婪 庸俗 罪恶 无情无义 幼稚 可怕 残酷 无能 阴暗 猖狂 懒惰 拙劣 冷酷无情 无聊 堕落 自私自利 古怪 悲惨 野蛮 软弱 狭隘 可怜 渺小 腐朽 恶 放肆 怪异 恐怖 自以为是 顽固 损人利己 无情 粗暴 黑暗 骇人听闻 不堪 滑稽 无恶不作 本性,0.5297147098222367,0.19696969696969696,0.1724137931034483
120,52,0.43125329733603124,0.006330138469411767,0.38461538461538464,却 也 反倒 确实 仍然 竟然 依然 反而 倒是 固然 仍旧 的确,恰好 必然 却是 则 总是 反而 不见得 终究,实在 仍然 不仅 不但 则 却 又 就 仍 亦 也 便,却 也 反倒 确实 仍然 竟然 依然 反而 倒是 固然 仍旧 的确 似乎 不但 居然 终究 依旧 都 必定 还 不仅 竟 显然 肯定 果真 往往 恰恰 既 仍 则 虽 又 未必 照样 亦 却是 更是 无疑 还是 总是 便 就 同样 着实 才 必然 实在 不见得 可谓 总算 不一定 恰好,0.7174362674362674,0.23214285714285715,0.25
479,50,0.42042965167334134,0.0030226194442003773,0.46,复习 考试 作文 试卷 试题 课文 口语 听写 口试 考题 背诵 预习,练习 文科 理科 笔记 教材 讲课 面试 高考,复习 写作 生词 朗读 课本 课文 背诵 笔记 笔试 测验 口试 口语,复习 考试 作文 试卷 试题 课文 口语 听写 口试 考题 背诵 预习 英语 课本 卷子 填空 听力 题目 笔试 生词 备课 考 外语 高考 写作 课 考生 理科 测验 题 教材 科目 讲课 练习 面试 考场 朗读 必修 默读 听讲 命题 功课 抄写 大纲 分数 文科 笔记 阅读 温习 识字,0.5496252076727793,0.43103448275862066,0.5
90,48,0.43021686497240996,-0.002096780597642619,0.4375,睡觉 吃饭 下班 下楼 午睡 起床 回家 晚饭 出门 上班 睡 骑车,醒来 走 干活儿 陪 坐 在家 抽烟 打牌,开车 起床 顺路 开夜车 晒太阳 坐 步行 抽烟 串门 干活儿 睡 睡着,睡觉 吃饭 下班 下楼 午睡 起床 回家 晚饭 出门 上班 睡 骑车 放学 洗澡 散步 午饭 遛 上课 睡着 溜达 爬山 晒太阳 打盹儿 刷牙 开车 休息 做饭 走路 上楼 打牌 干活儿 抽烟 在家 串门 跑步 玩耍 偷懒 醒来 逛 开夜车 陪 熬夜 下课 加班 坐 步行 顺路 走,0.5770390213501668,0.23684210526315788,0.375
