run,earliest_hsk_level,words,singletons,words_in_size_3_to_30
raw-t0.7-r0.2-run03,1,503,7,260
raw-t0.7-r0.2-run03,7-9,5592,92,3964
raw-t0.7-r0.2-run03,5,1056,17,752
raw-t0.7-r0.2-run03,6,1121,26,805
raw-t0.7-r0.2-run03,2,744,10,509
raw-t0.7-r0.2-run03,4,969,7,695
raw-t0.7-r0.2-run03,3,951,19,727
raw-t0.7-r0.2-run04,1,503,7,243
raw-t0.7-r0.2-run04,7-9,5592,84,3852
raw-t0.7-r0.2-run04,5,1056,11,745
raw-t0.7-r0.2-run04,6,1121,24,788
raw-t0.7-r0.2-run04,2,744,11,486
raw-t0.7-r0.2-run04,4,969,10,679
raw-t0.7-r0.2-run04,3,951,17,708
raw-t0.7-r0.2-run05,1,503,10,251
raw-t0.7-r0.2-run05,7-9,5592,89,3977
raw-t0.7-r0.2-run05,5,1056,17,746
raw-t0.7-r0.2-run05,6,1121,22,797
raw-t0.7-r0.2-run05,2,744,10,475
raw-t0.7-r0.2-run05,4,969,13,667
raw-t0.7-r0.2-run05,3,951,25,705
raw-t0.725-r0.05-run01,1,503,14,192
raw-t0.725-r0.05-run01,7-9,5592,145,3227
raw-t0.725-r0.05-run01,5,1056,16,636
raw-t0.725-r0.05-run01,6,1121,23,675
raw-t0.725-r0.05-run01,2,744,11,416
raw-t0.725-r0.05-run01,4,969,20,537
raw-t0.725-r0.05-run01,3,951,28,594
raw-t0.725-r0.1-run01,1,503,13,257
raw-t0.725-r0.1-run01,7-9,5592,183,4131
raw-t0.725-r0.1-run01,5,1056,20,788
raw-t0.725-r0.1-run01,6,1121,30,835
raw-t0.725-r0.1-run01,2,744,14,503
raw-t0.725-r0.1-run01,4,969,23,698
raw-t0.725-r0.1-run01,3,951,26,738
raw-t0.725-r0.1-run02,1,503,13,270
raw-t0.725-r0.1-run02,7-9,5592,187,4034
raw-t0.725-r0.1-run02,5,1056,27,785
raw-t0.725-r0.1-run02,6,1121,31,829
raw-t0.725-r0.1-run02,2,744,13,511
raw-t0.725-r0.1-run02,4,969,24,702
raw-t0.725-r0.1-run02,3,951,29,728
raw-t0.725-r0.1-run03,1,503,16,274
raw-t0.725-r0.1-run03,7-9,5592,196,4023
