name,embedding,threshold,raw_cosine_cutoff,resolution,gamma,theta,quality,repeat,graph,elapsed_seconds,n,communities,median_size,largest,singletons,words_in_pairs,words_in_3_to_30,words_in_over_100,mean_pair_cosine_word_weighted_nonsingletons,mean_cosine_silhouette_original_300d,negative_silhouette_fraction,word_weighted_median_cluster_size,words_in_1_to_2,words_in_3_to_9,words_in_10_to_30,words_in_31_to_100,cpm_objective_same_graph_and_resolution_only,fraction_graph_edges_within_communities,disconnected_communities
raw-t0.7-r0.2-run05,raw,0.7,0.3999999999999999,0.2,0.2,0.3,CPM,5,graphs/1-9-leiden/hsk1-9-thresh0.70.graphml,165.885462292,10936,1372,4,175,186,406,7618,589,0.44058702255721766,0.05858755900071488,0.2975493782004389,15.0,592,3390,4228,2137,36484.138728260994,0.28965894739618886,0
raw-t0.725-r0.05-run01,raw,0.725,0.44999999999999996,0.05,0.05,0.3,CPM,1,graphs/1-9-leiden/experiments-2026-09-17/graphs/raw-t0.725.graphml,110.83715774999999,10936,978,6,251,257,134,6277,1345,0.3964390811241196,0.02183880422640737,0.43224213606437456,22.0,391,1799,4478,2923,38249.99953751564,0.5108697360768348,0
raw-t0.725-r0.1-run01,raw,0.725,0.44999999999999996,0.1,0.1,0.3,CPM,1,graphs/1-9-leiden/experiments-2026-09-17/graphs/raw-t0.725.graphml,87.70986470899999,10936,1446,4,153,309,290,7950,433,0.4428752684496727,0.05688119842249724,0.31602048280907097,13.0,599,3450,4500,1954,29936.67125775516,0.43745382523539306,0
raw-t0.725-r0.1-run02,raw,0.725,0.44999999999999996,0.1,0.1,0.3,CPM,2,graphs/1-9-leiden/experiments-2026-09-17/graphs/raw-t0.725.graphml,93.02882912499999,10936,1437,4,155,324,266,7859,442,0.4410071306789335,0.053129264493935936,0.32205559619604973,14.0,590,3429,4430,2045,29961.928999420998,0.44124212081676284,0
raw-t0.725-r0.1-run03,raw,0.725,0.44999999999999996,0.1,0.1,0.3,CPM,3,graphs/1-9-leiden/experiments-2026-09-17/graphs/raw-t0.725.graphml,93.58605291700002,10936,1467,4,158,343,302,7824,439,0.44199166294142916,0.05317726599702098,0.33302852962692026,13.0,645,3375,4449,2028,29855.03644645512,0.43703726991213043,0
raw-t0.725-r0.1-run04,raw,0.725,0.44999999999999996,0.1,0.1,0.3,CPM,4,graphs/1-9-leiden/experiments-2026-09-17/graphs/raw-t0.725.graphml,95.020253542,10936,1460,4,161,333,280,7873,446,0.44283262294868136,0.05483078987725524,0.32324433065106073,13.0,613,3478,4395,2004,29982.805474826695,0.4400238929845796,0
raw-t0.725-r0.1-run05,raw,0.725,0.44999999999999996,0.1,0.1,0.3,CPM,5,graphs/1-9-leiden/experiments-2026-09-17/graphs/raw-t0.725.graphml,93.30496333300002,10936,1477,4,163,339,288,8078,558,0.44341653190037905,0.05370119126773515,0.33037673738112655,13.0,627,3470,4608,1673,29831.46407319307,0.43741452756338717,0
raw-t0.725-r0.2-run01,raw,0.725,0.44999999999999996,0.2,0.2,0.3,CPM,1,graphs/1-9-leiden/experiments-2026-09-17/graphs/raw-t0.725.graphml,71.736515,10936,2166,3,108,477,746,8576,108,0.4894492277013544,0.08147942432589843,0.24497073884418435,8.0,1223,4972,3604,1029,20326.3574924767,0.3516198500400836,0
raw-t0.725-r0.2-run02,raw,0.725,0.44999999999999996,0.2,0.2,0.3,CPM,2,graphs/1-9-leiden/experiments-2026-09-17/graphs/raw-t0.725.graphml,75.717330583,10936,2180,3,106,472,764,8347,106,0.4901117747404923,0.08161336181841733,0.2403072421360644,8.0,1236,5111,3236,1247,20337.34750302732,0.3506609868431394,0
raw-t0.725-r0.2-run03,raw,0.725,0.44999999999999996,0.2,0.2,0.3,CPM,3,graphs/1-9-leiden/experiments-2026-09-17/graphs/raw-t0.725.graphml,78.042434625,10936,2195,3,111,476,788,8492,111,0.4899968443776895,0.0795932599843598,0.25338332114118506,8.0,1264,5161,3331,1069,20343.737305435538,0.35181633840011317,0
raw-t0.725-r0.2-run04,raw,0.725,0.44999999999999996,0.2,0.2,0.3,CPM,4,graphs/1-9-leiden/experiments-2026-09-17/graphs/raw-t0.725.graphml,79.745183833,10936,2174,3,107,469,776,8461,107,0.48952352456157205,0.08063726006998057,0.24780541331382588,8.0,1245,5023,3438,1123,20344.28487637639,0.3513369068016411,0
raw-t0.725-r0.2-run05,raw,0.725,0.44999999999999996,0.2,0.2,0.3,CPM,5,graphs/1-9-leiden/experiments-2026-09-17/graphs/raw-t0.725.graphml,79.39367920900003,10936,2159,3,109,454,736,8582,109,0.4890541307488297,0.0807572688778177,0.24341623994147768,8.0,1190,5063,3519,1055,20427.568059578538,0.35253941556502194,0
raw-t0.75-r0.05-run01,raw,0.75,0.5,0.05,0.05,0.3,CPM,1,graphs/1-9-leiden/experiments-2026-09-17/graphs/raw-t0.75.graphml,54.887746042,10936,1792,2,164,750,300,7882,423,0.4430724272720235,0.025511980337924445,0.4056327724945135,13.0,1050,3138,4744,1581,20812.737906473874,0.5991705250362002,0
raw-t0.75-r0.1-run01,raw,0.75,0.5,0.1,0.1,0.3,CPM,1,graphs/1-9-leiden/experiments-2026-09-17/graphs/raw-t0.75.graphml,50.252885959000025,10936,2411,3,94,870,580,8581,0,0.49154707513329454,0.06836006571525016,0.2900512070226774,8.0,1450,5137,3444,905,16845.047824925183,0.5249825702997909,0
raw-t0.75-r0.2-run01,raw,0.75,0.5,0.2,0.2,0.3,CPM,1,graphs/1-9-leiden/experiments-2026-09-17/graphs/raw-t0.75.graphml,43.33179212499999,10936,3256,2,70,1112,1274,8164,0,0.5388493182341263,0.1011272869944172,0.1960497439648866,5.0,2386,6040,2124,386,11979.702366548776,0.43563524553531524,0
