community,size,mean_pair_cosine,mean_cosine_silhouette,negative_silhouette_fraction,representatives,boundary_words,deterministic_sample,all_members,soft_mass,mean_max_membership,mean_normalized_membership_entropy,highest_membership_words,strongest_members_outside_hard_cluster
0,46,0.4196762784403127,0.07192381205269673,0.13043478260869565,别致 | 古朴 | 优美 | 质朴 | 精致 | 艳丽 | 迷人 | 纯朴 | 优雅 | 朴实 | 甜美 | 浓郁,地道 | 原汁原味 | 浓郁 | 欢快 | 鲜艳 | 洋溢 | 丰满 | 诱人,甜美 | 秀美 | 丰富多彩 | 新奇 | 古朴 | 优美 | 浓郁 | 优雅 | 地道 | 亮丽 | 富有 | 动感,别致 | 古朴 | 优美 | 质朴 | 精致 | 艳丽 | 迷人 | 纯朴 | 优雅 | 朴实 | 甜美 | 浓郁 | 细腻 | 高雅 | 新颖 | 精美 | 秀丽 | 清新 | 动听 | 鲜艳 | 奇特 | 华丽 | 欢快 | 浪漫 | 悦耳 | 可爱 | 活泼 | 秀美 | 新奇 | 朴素 | 缤纷 | 动感 | 风情 | 情调 | 亮丽 | 逼真 | 酣畅 | 富有 | 诱人 | 洋溢 | 原汁原味 | 丰富多彩 | 别具匠心 | 丰满 | 点缀 | 地道,46.02995780103604,0.9992229697723856,0.000728006509954373,精美:1.000000 | 别致:1.000000 | 缤纷:1.000000 | 浓郁:1.000000 | 诱人:1.000000 | 动感:1.000000 | 清新:1.000000 | 秀美:1.000000 | 丰富多彩:1.000000 | 优美:1.000000 | 秀丽:1.000000 | 纯朴:1.000000,高贵:0.037123 | 引人入胜:0.016843 | 梦幻:0.010236
1,70,0.3904450292134422,0.04986215849646352,0.11428571428571428,扔 | 踹 | 拽 | 叼 | 磕 | 蹦 | 拎 | 摔 | 揍 | 扯 | 砸 | 捡,穿 | 干 | 喷 | 刮 | 耍 | 吸 | 偷 | 捞,蹦 | 弄 | 挑 | 碰 | 摸 | 啃 | 撑 | 蹭 | 耍 | 砸 | 蹲 | 拎,扔 | 踹 | 拽 | 叼 | 磕 | 蹦 | 拎 | 摔 | 揍 | 扯 | 砸 | 捡 | 扒 | 捅 | 舔 | 摸 | 掏 | 抠 | 蹭 | 敲 | 躺 | 踢 | 瞅 | 揪 | 扛 | 耍 | 揣 | 弄 | 溜 | 丢 | 抖 | 打 | 搬 | 撕 | 捞 | 碰 | 搁 | 趴 | 挨 | 挑 | 蹲 | 啃 | 坐 | 搀 | 挤 | 撑 | 跳 | 摆 | 偷 | 翻 | 刮 | 跪 | 吹 | 搭 | 背 | 歪 | 挂 | 攒 | 凑 | 捂 | 抓 | 拣 | 盯 | 喷 | 干 | 哄 | 装 | 穿 | 扮 | 吸,70.45458878022968,0.9976030543803256,0.0023892485519363582,摆:1.000000 | 撕:1.000000 | 叼:1.000000 | 踢:1.000000 | 抠:1.000000 | 搭:1.000000 | 舔:1.000000 | 攒:1.000000 | 扯:1.000000 | 掏:1.000000 | 耍:1.000000 | 搁:1.000000,甩:0.337382 | 砍:0.072917 | 跑:0.054961 | 拔:0.039297 | 放:0.027200 | 掰:0.015782 | 摇:0.011007 | 捉:0.010311
2,52,0.35969308084350177,0.021695716719523497,0.3076923076923077,讹诈 | 阻挠 | 煽动 | 挑衅 | 诽谤 | 纵容 | 恐吓 | 迫害 | 欺骗 | 谋害 | 谴责 | 阴谋,闹事 | 决不 | 猖狂 | 制止 | 钻空子 | 辩护 | 捣乱 | 袖手旁观,辩护 | 插手 | 报复 | 勾结 | 拒绝 | 引诱 | 大肆 | 制止 | 打倒 | 推卸 | 抗拒 | 恐吓,讹诈 | 阻挠 | 煽动 | 挑衅 | 诽谤 | 纵容 | 恐吓 | 迫害 | 欺骗 | 谋害 | 谴责 | 阴谋 | 公然 | 勾结 | 侮辱 | 无理 | 捣乱 | 企图 | 报复 | 猖狂 | 殴打 | 怠工 | 竟敢 | 虐待 | 背叛 | 鼓动 | 揭露 | 闹事 | 揭发 | 强迫 | 乘人之危 | 引诱 | 制止 | 逼迫 | 惩罚 | 借口 | 反对 | 拒绝 | 无恶不作 | 大肆 | 抵制 | 抗拒 | 推卸 | 插手 | 打倒 | 辩护 | 钻空子 | 袖手旁观 | 不顾 | 决不 | 斩草除根 | 矛头,52.02328171863432,0.9987385116600381,0.001285704545336719,大肆:1.000000 | 怠工:1.000000 | 揭发:1.000000 | 企图:1.000000 | 公然:1.000000 | 猖狂:1.000000 | 阴谋:1.000000 | 推卸:1.000000 | 强迫:1.000000 | 借口:1.000000 | 乘人之危:1.000000 | 无恶不作:1.000000,干涉:0.051075 | 饶恕:0.010093
3,72,0.24893973423331694,-0.004849500904268321,0.5416666666666666,测算 | 依据 | 估算 | 推算 | 根据 | 推断 | 分析 | 判定 | 推测 | 确定 | 计算 | 预测,审定 | 简要 | 解析 | 施行 | 变更 | 举例 | 潜在 | 曝光,据此 | 潜在 | 一致 | 简要 | 举例 | 简称 | 原 | 判定 | 评估 | 归属 | 推算 | 后续,测算 | 依据 | 估算 | 推算 | 根据 | 推断 | 分析 | 判定 | 推测 | 确定 | 计算 | 预测 | 判断 | 统计 | 参照 | 评估 | 界定 | 认定 | 定义 | 如下 | 依照 | 显示 | 按照 | 具体 | 相关 | 披露 | 明确 | 据此 | 公布 | 评定 | 假设 | 解析 | 有关 | 参考 | 得出 | 基于 | 证实 | 发布 | 说明 | 上述 | 实际 | 举例 | 对比 | 简要 | 修正 | 相应 | 变更 | 针对 | 关联 | 审定 | 变动 | 后续 | 简称 | 及 | 一致 | 及其 | 经 | 包括 | 名称 | 关于 | 以下 | 来源 | 官方 | 参见 | 未经 | 对象 | 潜在 | 原 | 个案 | 曝光 | 归属 | 施行,72.0288220508777,0.9944441591885637,0.004577164003279663,经:1.000000 | 确定:1.000000 | 具体:1.000000 | 证实:1.000000 | 推算:1.000000 | 针对:1.000000 | 变动:1.000000 | 如下:1.000000 | 解析:0.999999 | 参照:0.999999 | 审定:0.999999 | 根据:0.999999,由:0.106560 | 公开:0.072963 | 其中:0.056570 | 率:0.045022 | 假定:0.021624 | 部分:0.014372
4,35,0.33953540884891126,0.032764601078327606,0.2857142857142857,荡漾 | 弥漫 | 流淌 | 闪烁 | 绽放 | 波涛 | 耸立 | 照耀 | 笼罩 | 光芒 | 汹涌 | 盛开,浓重 | 歌声 | 回首 | 寂静 | 往日 | 连绵 | 布满 | 摇摆,无边 | 如一 | 汹涌 | 荡漾 | 簇拥 | 摇摆 | 扑面而来 | 盛开 | 流淌 | 弥漫 | 跳动 | 笼罩,荡漾 | 弥漫 | 流淌 | 闪烁 | 绽放 | 波涛 | 耸立 | 照耀 | 笼罩 | 光芒 | 汹涌 | 盛开 | 朦胧 | 寂静 | 沸腾 | 布满 | 连绵 | 扑面而来 | 屹立 | 望见 | 跳动 | 歌声 | 徐徐 | 簇拥 | 浮现 | 起伏 | 无边 | 散发 | 显出 | 浓重 | 回首 | 如一 | 点燃 | 摇摆 | 往日,34.994938155718785,0.9997125954471668,0.0003783554585541103,耸立:1.000000 | 布满:1.000000 | 屹立:1.000000 | 荡漾:1.000000 | 徐徐:1.000000 | 连绵:1.000000 | 沸腾:1.000000 | 回首:1.000000 | 朦胧:1.000000 | 点燃:1.000000 | 显出:1.000000 | 如一:1.000000,
5,27,0.2843667556980027,-0.009223088462637563,0.5185185185185185,跳跃 | 奔跑 | 穿越 | 飞翔 | 探险 | 观赏 | 捕捉 | 触摸 | 撞击 | 行走 | 拍摄 | 操控,冲浪 | 环绕 | 观看 | 集结 | 搜寻 | 隐身 | 观测 | 驾驭,集结 | 冲浪 | 触摸 | 漫游 | 撞击 | 投射 | 跨越 | 隐身 | 操控 | 驾驭 | 搜寻 | 观赏,跳跃 | 奔跑 | 穿越 | 飞翔 | 探险 | 观赏 | 捕捉 | 触摸 | 撞击 | 行走 | 拍摄 | 操控 | 投射 | 漫游 | 冲浪 | 体验 | 观测 | 驾驭 | 观看 | 搜寻 | 环绕 | 跨越 | 碰撞 | 进化 | 隐身 | 传递 | 集结,26.997153745964283,0.9998896620548111,0.00015642149186786408,飞翔:1.000000 | 奔跑:1.000000 | 穿越:1.000000 | 触摸:1.000000 | 拍摄:1.000000 | 操控:1.000000 | 体验:1.000000 | 跳跃:1.000000 | 集结:1.000000 | 捕捉:1.000000 | 碰撞:1.000000 | 驾驭:1.000000,
6,55,0.415488224125693,0.05330124651662846,0.16363636363636364,薯片 | 饼干 | 饮料 | 果汁 | 薯条 | 零食 | 点心 | 卤味 | 巧克力 | 烤肉 | 水果 | 汽水,肥皂 | 彩电 | 洗衣粉 | 小吃 | 沐浴露 | 水果 | 红茶 | 牙膏,桑拿 | 葡萄酒 | 洗衣粉 | 蛋糕 | 盒饭 | 口香糖 | 肥皂 | 红茶 | 水果 | 餐 | 薯片 | 香水,薯片 | 饼干 | 饮料 | 果汁 | 薯条 | 零食 | 点心 | 卤味 | 巧克力 | 烤肉 | 水果 | 汽水 | 海鲜 | 咖啡 | 红酒 | 罐头 | 火锅 | 糖果 | 啤酒 | 月饼 | 小吃 | 快餐 | 寿司 | 中餐 | 冰棍儿 | 方便面 | 可乐 | 西餐 | 红茶 | 烧烤 | 早餐 | 盒饭 | 蛋糕 | 粽子 | 三明治 | 烤鸭 | 口香糖 | 酒水 | 矿泉水 | 喜糖 | 主食 | 葡萄酒 | 餐 | 沐浴露 | 牙膏 | 洗衣粉 | 料理 | 肥皂 | 香水 | 麻将 | 鞭炮 | 杯 | 桑拿 | 爆竹 | 彩电,55.0538261582702,0.9960173188564462,0.0032985657254147862,烧烤:1.000000 | 中餐:1.000000 | 快餐:1.000000 | 烤肉:1.000000 | 爆竹:1.000000 | 啤酒:1.000000 | 酒水:1.000000 | 海鲜:1.000000 | 喜糖:1.000000 | 西餐:1.000000 | 桑拿:1.000000 | 鞭炮:1.000000,酸奶:0.173592 | 塑料袋:0.030614 | 西瓜:0.013900 | 钞票:0.012038
7,51,0.31690113017545807,-0.005880414080167438,0.5490196078431373,贴切 | 简洁 | 恰当 | 精妙 | 生动 | 工整 | 清晰 | 准确 | 详尽 | 严谨 | 流畅 | 透彻,单一 | 透明 | 不同寻常 | 自如 | 十分 | 流畅 | 对称 | 生动,极其 | 简单 | 合乎 | 千变万化 | 精确 | 详尽 | 深奥 | 真实 | 对称 | 透彻 | 自如 | 恰当,贴切 | 简洁 | 恰当 | 精妙 | 生动 | 工整 | 清晰 | 准确 | 详尽 | 严谨 | 流畅 | 透彻 | 恰如其分 | 巧妙 | 简单 | 有趣 | 直观 | 精确 | 精练 | 鲜明 | 深奥 | 微妙 | 耐人寻味 | 简短 | 复杂 | 真实 | 恰到好处 | 紧凑 | 细微 | 宽泛 | 通俗 | 相似 | 醒目 | 吻合 | 极其 | 可信 | 千变万化 | 通顺 | 合乎 | 一目了然 | 不同寻常 | 极为 | 寻常 | 分明 | 十分 | 画龙点睛 | 熟悉 | 自如 | 对称 | 透明 | 单一,50.873988874339034,0.9966613393286704,0.003354945825851084,清晰:1.000000 | 精练:1.000000 | 醒目:1.000000 | 巧妙:1.000000 | 细微:1.000000 | 简短:1.000000 | 深奥:1.000000 | 恰到好处:1.000000 | 恰如其分:1.000000 | 精妙:1.000000 | 流畅:1.000000 | 紧凑:1.000000,相同:0.018989
8,78,0.2225499364719444,-0.035627425230372094,0.8333333333333334,从而 | 进而 | 使得 | 势必 | 必将 | 将 | 一方面 | 对于 | 由此 | 逐步 | 并且 | 使,确信 | 始终 | 必须 | 首先 | 即 | 认为 | 并且 | 外界,首先 | 在于 | 彻底 | 以 | 得以 | 为 | 始终 | 同等 | 一方面 | 使得 | 不利于 | 未来,从而 | 进而 | 使得 | 势必 | 必将 | 将 | 一方面 | 对于 | 由此 | 逐步 | 并且 | 使 | 意味着 | 同时 | 逐渐 | 取决于 | 另一方面 | 有望 | 不利于 | 致使 | 并 | 在于 | 反过来 | 最终 | 能否 | 对 | 以及 | 得以 | 鉴于 | 其 | 不断 | 表明 | 与此同时 | 无法 | 自身 | 随着 | 大大 | 源于 | 首先 | 未来 | 必须 | 继续 | 与其 | 后者 | 长期 | 即 | 与 | 决定 | 和 | 重新 | 出于 | 始终 | 双重 | 间接 | 今后 | 主要 | 彻底 | 以 | 视为 | 为此 | 从中 | 已 | 来源于 | 认为 | 得到 | 确信 | 除 | 首要 | 迟迟 | 分别 | 外界 | 为 | 各自 | 于 | 所 | 持有 | 变为 | 同等,78.86589420799783,0.997457562241309,0.00275466866295654,进而:1.000000 | 对:1.000000 | 使:1.000000 | 同时:1.000000 | 彻底:1.000000 | 重新:1.000000 | 得以:1.000000 | 以:1.000000 | 能否:1.000000 | 逐步:0.999999 | 逐渐:0.999999 | 与:0.999997,起到:0.270760 | 尚未:0.174452 | 潜在:0.118442 | 其中:0.117092 | 仍:0.087381 | 全部:0.030574 | 其余:0.028592 | 由于:0.026227
9,42,0.29684506134535243,-0.004570146074997434,0.5,艰苦奋斗 | 团结 | 发扬 | 自强不息 | 弘扬 | 祖国 | 富强 | 社会主义 | 中华民族 | 公仆 | 自力更生 | 爱国,学子 | 辛勤 | 一心 | 同舟共济 | 艰苦奋斗 | 自强不息 | 精神 | 干事,民主 | 事业 | 模范 | 一心 | 人民 | 干事 | 革命 | 成才 | 自强不息 | 爱国 | 同舟共济 | 同胞,艰苦奋斗 | 团结 | 发扬 | 自强不息 | 弘扬 | 祖国 | 富强 | 社会主义 | 中华民族 | 公仆 | 自力更生 | 爱国 | 人民 | 榜样 | 民主 | 觉悟 | 楷模 | 革命 | 志气 | 同舟共济 | 成才 | 争光 | 和平 | 党 | 精神 | 模范 | 辛勤 | 改革开放 | 造福 | 事业 | 保卫 | 表率 | 哺育 | 扎根 | 致富 | 大家庭 | 干事 | 互助 | 同胞 | 解放 | 学子 | 一心,41.73448760772132,0.9935461569039175,0.0046676830179345815,扎根:1.000000 | 造福:1.000000 | 争光:1.000000 | 学子:1.000000 | 辛勤:1.000000 | 保卫:1.000000 | 干事:1.000000 | 致富:0.999999 | 公仆:0.999999 | 大家庭:0.999999 | 弘扬:0.999998 | 艰苦奋斗:0.999997,
