community,size,mean_pair_cosine,mean_cosine_silhouette,negative_silhouette_fraction,representatives,boundary_words,deterministic_sample,all_members
0,1,,0.0,0.0,〇,〇,〇,〇
1,4,0.49129646684097383,-0.0404847878417485,0.25,两 几 一 了,了 一 几 两,几 了 两 一,两 几 一 了
2,8,0.47525221573295146,0.061002537464967886,0.375,全都 统统 全部 通通 所有 一概 全 一一,所有 一概 全 一一 全部 全都 统统 通通,全 通通 所有 统统 全都 全部 一概 一一,全都 统统 全部 通通 所有 一概 全 一一
3,12,0.522852959236464,0.10105971285209354,0.16666666666666666,忽然 猛然 突然 一瞬间 顿时 瞬间 一下子 一刹那 骤然 转眼 仿佛 一晃,仿佛 一晃 转眼 骤然 一刹那 猛然 顿时 一下子,一瞬间 瞬间 一下子 骤然 突然 忽然 转眼 猛然 一晃 一刹那 仿佛 顿时,忽然 猛然 突然 一瞬间 顿时 瞬间 一下子 一刹那 骤然 转眼 仿佛 一晃
4,4,0.43039753840314154,0.0003343733144620109,0.5,生怕 一不小心 万一 眼看,眼看 万一 生怕 一不小心,一不小心 生怕 眼看 万一,生怕 一不小心 万一 眼看
5,3,0.5014880134876297,0.13197850133419542,0.0,一鼓作气 一口气 一举,一口气 一举 一鼓作气,一鼓作气 一口气 一举,一鼓作气 一口气 一举
6,7,0.5125448829949891,0.17023847328383185,0.0,言行 举动 所作所为 一言一行 行为 一举一动 行动,行动 一言一行 一举一动 行为 举动 所作所为 言行,举动 行为 行动 言行 一举一动 所作所为 一言一行,言行 举动 所作所为 一言一行 行为 一举一动 行动
7,5,0.4693253541344918,0.030317301911262785,0.4,无所事事 消沉 一事无成 无所作为 厌倦,厌倦 消沉 无所作为 一事无成 无所事事,无所作为 消沉 无所事事 厌倦 一事无成,无所事事 消沉 一事无成 无所作为 厌倦
8,6,0.4834796108002667,-0.00373486758610903,0.5,一些 那些 这些 别的 好多 其他,一些 好多 这些 其他 别的 那些,那些 别的 这些 好多 其他 一些,一些 那些 这些 别的 好多 其他
9,3,0.5756531560162128,0.3259428891696952,0.0,一代 代 下一代,下一代 代 一代,代 下一代 一代,一代 代 下一代
10,10,0.4879090729005223,0.09190215026024942,0.3,这时 这时候 这会儿 此时 此刻 不一会儿 一会儿 刚才 老远 于是,于是 老远 刚才 一会儿 不一会儿 此刻 这会儿 此时,一会儿 于是 不一会儿 这时 老远 这时候 刚才 这会儿 此刻 此时,这时 这时候 这会儿 此时 此刻 不一会儿 一会儿 刚才 老远 于是
