token,community,best_cluster_match_fraction
专栏,195,1.0
专注,196,1.0
专用,197,1.0
专程,198,1.0
专职,89,0.75
专著,199,1.0
专辑,200,1.0
专长,36,0.5
专门,35,0.75
专题,201,1.0
且,139,0.5
世代,9,1.0
世故,186,0.0
世界,202,1.0
世界杯,203,1.0
世界级,48,1.0
世纪,204,0.25
世袭,9,1.0
丘陵,205,1.0
丙,206,1.0
业,207,0.5
业余,208,0.0
业务,209,1.0
业绩,210,1.0
丛林,205,1.0
东,29,1.0
东北,29,1.0
东南,29,1.0
东奔西走,211,0.75
东张西望,53,1.0
东方,212,1.0
东西,213,0.75
东边,40,1.0
东道主,203,1.0
东部,29,1.0
丝,214,1.0
丝毫,127,1.0
丝绸,106,1.0
丢,170,1.0
丢人,215,0.25
丢失,170,0.75
丢弃,170,1.0
丢掉,170,0.5
丢脸,149,1.0
两,68,1.0
两侧,40,1.0
两口子,27,1.0
两岸,216,1.0
两手,217,1.0
两栖,218,1.0
两边,40,1.0
严,219,0.5
严厉,219,0.25
严密,219,0.5
严峻,220,1.0
严格,219,0.5
严禁,31,1.0
严肃,221,1.0
严谨,219,0.0
严重,143,0.25
丧失,170,0.25
丧生,222,1.0
个,70,1.0
个人,223,1.0
个体,224,0.75
个儿,225,0.75
个别,8,1.0
个头儿,225,0.75
个子,225,0.75
个性,226,0.75
个案,227,0.75
丫头,27,1.0
中,228,1.0
中介,229,0.75
中医,230,0.5
中午,23,1.0
中华,231,1.0
中华民族,232,0.0
中国,202,1.0
中国画,233,1.0
中型,218,1.0
中外,234,1.0
中央,235,1.0
中奖,236,0.0
中学,88,1.0
中学生,237,1.0
中小学,237,0.0
中年,238,0.75
中庸,239,1.0
中心,240,0.0
中性,241,0.75
中文,242,1.0
中断,243,1.0
中旬,81,1.0
中期,204,1.0
中止,243,1.0
中毒,244,1.0
中秋节,245,1.0
中立,246,1.0
中等,247,0.75
中级,247,0.75
中药,248,1.0
中途,59,1.0
中部,29,1.0
中间,40,1.0
中餐,76,1.0
丰厚,249,0.25
丰富,250,0.25
丰富多彩,251,0.0
丰收,210,0.0
丰满,225,1.0
丰盛,252,1.0
丰硕,253,1.0
串,214,1.0
串门,254,1.0
临,255,1.0
临床,230,0.5
临时,256,1.0
临街,257,1.0
临近,258,1.0
丸,248,0.5
为,259,1.0
为主,11,1.0
为了,260,0.25
为人,261,0.0
为什么,169,1.0
为何,169,1.0
为期,262,1.0
为止,263,0.5
为此,39,1.0
为难,149,1.0
主,264,0.25
主义,265,0.75
主人,266,1.0
主人公,264,0.25
主任,267,1.0
主体,268,1.0
主力,269,1.0
主办,270,1.0
主动,156,1.0
主妇,266,0.5
主宰,271,1.0
主导,272,0.75
主席,267,1.0
主张,273,0.5
主意,274,1.0
主持,275,0.0
主持人,276,0.75
主权,277,1.0
主流,278,0.0
主演,94,1.0
主管,267,1.0
主编,199,0.75
主要,279,1.0
主观,280,0.5
主角,264,0.5
主页,125,0.5
主题,201,1.0
主题歌,200,1.0
主食,76,1.0
举,281,0.0
举一反三,282,1.0
举世无双,283,1.0
举世瞩目,283,1.0
举世闻名,284,1.0
举例,285,0.75
举办,270,0.5
举动,6,1.0
举手,286,0.5
举报,287,1.0
